target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YAL018C	YGL254W	0.999980						1.000000	5.000000	1.000000
YAL018C	YJR060W	0.999980						1.000000	5.000000	1.000000
YAL018C	YNL216W	0.999980						1.000000	5.000000	1.000000
YPR157W	YMR037C	0.999980						1.000000	5.000000	1.000000
YOR378W	YHR084W	0.999980						1.000000	5.000000	1.000000
YOR378W	YJR060W	0.999980						1.000000	5.000000	1.000000
YBR105C	YNL216W	0.999980						1.000000	5.000000	1.000000
YPR157W	YPR008W	0.999980						1.000000	5.000000	1.000000
YOR378W	YLR176C	0.999980						1.000000	5.000000	1.000000
YPR157W	YBR083W	0.999980						1.000000	5.000000	1.000000
YOR378W	YOR380W	0.999980						1.000000	5.000000	1.000000
YOR378W	YER111C	0.999980						1.000000	5.000000	1.000000
YPR157W	YML007W	0.999980						1.000000	5.000000	1.000000
YBR105C	YBR239C	0.999980						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999980						1.000000	5.000000	1.000000
YBR105C	YPL133C	0.999980						1.000000	5.000000	1.000000
YDR332W	YGL013C	0.999980						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999980						1.000000	5.000000	1.000000
YOR378W	YDR253C	0.999980						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999980						1.000000	5.000000	1.000000
YPR157W	YIL131C	0.999980						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999971						1.000000	5.000000	1.000000
YBR019C	YML051W	0.999965						1.000000	5.000000	1.000000
YBR169C	YJL110C	0.999958						1.000000	5.000000	0.987896
YBR019C	YDR043C	0.999957						1.000000	5.000000	1.000000
YIL162W	YGL209W	0.999955						1.000000	5.000000	0.971643
YFR017C	YER028C	0.999955						1.000000	5.000000	0.971452
YBR019C	YPL248C	0.999955						1.000000	5.000000	1.000000
YLR360W	YGL013C	0.999954						1.000000	5.000000	1.000000
YCL064C	YLR098C	0.999953						1.000000	5.000000	0.915369
YJR148W	YJR147W	0.999950						1.000000	5.000000	0.869027
YDR515W	YJR127C	0.999949						1.000000	5.000000	0.867460
YNR001C	YGL252C	0.999948						1.000000	5.000000	0.838900
YPR141C	YCL055W	0.999946						1.000000	5.000000	0.823888
YPR035W	YOL116W	0.999943						1.000000	5.000000	0.814579
YLL023C	YKL038W	0.999942						1.000000	5.000000	0.796281
YBR222C	YMR019W	0.999940						1.000000	5.000000	0.766721
YMR202W	YDR213W	0.999939						1.000000	5.000000	0.715107
YOR052C	YKL185W	0.999937						1.000000	5.000000	0.725649
YIL162W	YGL035C	0.999936						1.000000	5.000000	0.721204
YOR236W	YBR182C	0.999935						1.000000	5.000000	0.715352
YBR169C	YGL073W	0.999934						1.000000	5.000000	0.665733
YNL134C	YOL089C	0.999933						1.000000	5.000000	0.703004
YBR137W	YDR520C	0.999933						1.000000	5.000000	0.704250
YGR019W	YDL170W	0.999932						1.000000	5.000000	0.698084
YIL162W	YDR043C	0.999927						1.000000	5.000000	0.673541
YGR019W	YKR034W	0.999926						1.000000	5.000000	0.666095
YGL062W	YOL067C	0.999924						1.000000	5.000000	0.660863
YMR103C	YCR106W	0.999922						1.000000	5.000000	0.629945
YBR068C	YHR006W	0.999921						1.000000	5.000000	0.627913
YDR262W	YDR259C	0.999920						1.000000	5.000000	0.614852
YGL226W	YHL009C	0.999917						1.000000	5.000000	0.584445
YBR169C	YOR028C	0.999917						1.000000	5.000000	0.501957
YKR024C	YPL128C	0.999913						1.000000	5.000000	0.566293
YOR289W	YHR006W	0.999913						1.000000	5.000000	0.552292
YJR044C	YPR199C	0.999912						1.000000	5.000000	0.565994
YJL078C	YLR131C	0.999910						1.000000	5.000000	0.522178
YEL021W	YLR014C	0.999905						1.000000	5.000000	0.494891
YGR019W	YIR023W	0.999904						1.000000	5.000000	0.491657
YJR139C	YOR032C	0.999903						1.000000	5.000000	0.480074
YAL062W	YPR199C	0.999903						1.000000	5.000000	0.483238
YPR173C	YHL009C	0.999902						1.000000	5.000000	0.481970
YDR298C	YKL109W	0.999902						1.000000	5.000000	0.487977
YJL178C	YLR013W	0.999901						1.000000	5.000000	0.478256
YMR202W	YMR070W	0.999899						1.000000	5.000000	0.438173
YLR375W	YMR182C	0.999893						1.000000	5.000000	0.436455
YPR124W	YMR021C	0.999893						1.000000	5.000000	0.437019
YLL026W	YMR042W	0.999892						1.000000	5.000000	0.417381
YDL184C	YDR421W	0.999890						1.000000	5.000000	0.435462
YHL048W	YMR182C	0.999885						1.000000	5.000000	0.412344
YDR148C	YKL109W	0.999885						1.000000	5.000000	0.412648
YML085C	YCR065W	0.999884						1.000000	5.000000	0.412605
