target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YBR105C	YBR239C	0.999980						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999980						1.000000	5.000000	1.000000
YPR157W	YMR037C	0.999980						1.000000	5.000000	1.000000
YBR105C	YNL216W	0.999980						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999980						1.000000	5.000000	1.000000
YDR332W	YGL013C	0.999980						1.000000	5.000000	1.000000
YBR019C	YDR043C	0.999980						1.000000	5.000000	1.000000
YPR157W	YIL131C	0.999980						1.000000	5.000000	1.000000
YPR157W	YPR008W	0.999980						1.000000	5.000000	1.000000
YBR019C	YOR363C	0.999980						1.000000	5.000000	1.000000
YPR157W	YBR083W	0.999980						1.000000	5.000000	1.000000
YBR019C	YDR253C	0.999980						1.000000	5.000000	1.000000
YPR157W	YML007W	0.999980						1.000000	5.000000	1.000000
YBR105C	YPL133C	0.999980						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999980						1.000000	5.000000	1.000000
YBR019C	YPL248C	0.999980						1.000000	5.000000	1.000000
YBR019C	YMR037C	0.999980						1.000000	5.000000	1.000000
YBR019C	YML051W	0.999980						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999976						1.000000	5.000000	1.000000
YLR360W	YGL013C	0.999970						1.000000	5.000000	1.000000
YBR169C	YJL110C	0.999958						1.000000	5.000000	0.990914
YIL162W	YGL209W	0.999955						1.000000	5.000000	0.909656
YFR017C	YER028C	0.999955						1.000000	5.000000	0.926925
YMR202W	YDR213W	0.999954						1.000000	5.000000	0.902687
YJR148W	YJR147W	0.999952						1.000000	5.000000	0.904293
YDR515W	YJR127C	0.999951						1.000000	5.000000	0.882183
YCL064C	YLR098C	0.999948						1.000000	5.000000	0.833086
YPR141C	YCL055W	0.999946						1.000000	5.000000	0.821749
YOR236W	YBR182C	0.999946						1.000000	5.000000	0.819827
YNR001C	YGL252C	0.999942						1.000000	5.000000	0.807183
YBR222C	YMR019W	0.999941						1.000000	5.000000	0.796160
YBR169C	YGL073W	0.999938						1.000000	5.000000	0.806447
YDR101C	YPL128C	0.999935						1.000000	5.000000	0.710188
YMR202W	YMR070W	0.999933						1.000000	5.000000	0.656289
YJL153C	YOR140W	0.999932						1.000000	5.000000	0.697865
YGL062W	YOL067C	0.999930						1.000000	5.000000	0.649766
YJL178C	YLR013W	0.999928						1.000000	5.000000	0.632228
YBR169C	YOR028C	0.999927						1.000000	5.000000	0.750877
YPR035W	YOL116W	0.999925						1.000000	5.000000	0.627934
YHR128W	YDR520C	0.999925						1.000000	5.000000	0.618653
YIL162W	YGL035C	0.999924						1.000000	5.000000	0.488348
