target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YOR378W	YHR084W	0.999984						1.000000	5.000000	1.000000
YPL092W	YGL254W	0.999984						1.000000	5.000000	1.000000
YPL092W	YEL009C	0.999984						1.000000	5.000000	1.000000
YDR332W	YGL013C	0.999984						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999984						1.000000	5.000000	1.000000
YPL092W	YHR124W	0.999984						1.000000	5.000000	1.000000
YOR378W	YOR380W	0.999984						1.000000	5.000000	1.000000
YOR378W	YJR060W	0.999984						1.000000	5.000000	1.000000
YOR378W	YLR176C	0.999984						1.000000	5.000000	1.000000
YOR378W	YER111C	0.999984						1.000000	5.000000	1.000000
YPL092W	YIL131C	0.999984						1.000000	5.000000	1.000000
YOR378W	YDR253C	0.999984						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999984						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999984						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999980						1.000000	5.000000	1.000000
YJR104C	YGL166W	0.999967						1.000000	5.000000	0.990940
YBR169C	YJL110C	0.999965						1.000000	5.000000	0.967227
YMR202W	YDR213W	0.999963						1.000000	5.000000	0.941733
YJR044C	YPR199C	0.999960						1.000000	5.000000	0.881327
YCL063W	YLR098C	0.999959						1.000000	5.000000	0.873449
YDR174W	YJL089W	0.999957						1.000000	5.000000	0.855307
YKL029C	YBR239C	0.999956						1.000000	5.000000	0.919493
YOR236W	YBR182C	0.999956						1.000000	5.000000	0.849951
YGR138C	YPR008W	0.999955						1.000000	5.000000	0.821382
YOL155C	YGR044C	0.999952						1.000000	5.000000	0.800777
YDR101C	YPL128C	0.999951						1.000000	5.000000	0.813278
YJL178C	YLR013W	0.999945						1.000000	5.000000	0.760225
YOR289W	YHR006W	0.999944						1.000000	5.000000	0.743843
YJR139C	YOR032C	0.999942						1.000000	5.000000	0.721969
YHR128W	YDR520C	0.999941						1.000000	5.000000	0.710100
YBR169C	YGL073W	0.999939						1.000000	5.000000	0.696682
YKL216W	YLR014C	0.999937						1.000000	5.000000	0.681281
YMR305C	YKL185W	0.999935						1.000000	5.000000	0.658917
YDR515W	YJR127C	0.999933						1.000000	5.000000	0.703801
YBR169C	YHR206W	0.999933						1.000000	5.000000	0.653745
YJR104C	YHR206W	0.999933						1.000000	5.000000	0.652594
YMR186W	YDR259C	0.999928						1.000000	5.000000	0.622893
YML085C	YCR065W	0.999924						1.000000	5.000000	0.594233
YMR304C.A	YKL185W	0.999924						0.000000	5.000000	0.573319
YJL190C	YLR223C	0.999923						1.000000	5.000000	0.608301
YDR377W	YDR421W	0.999920						1.000000	5.000000	0.583207
YHL048W	YMR182C	0.999918						1.000000	5.000000	0.566230
YBR222C	YMR019W	0.999917						1.000000	5.000000	0.566838
YPR173C	YHL009C	0.999914						1.000000	5.000000	0.535332
YGL103W	YLR223C	0.999914						0.000000	5.000000	0.547473
YPR119W	YOR372C	0.999913						1.000000	5.000000	0.533344
YDR345C	YKL038W	0.999912						1.000000	5.000000	0.522855
YNL312W	YDL170W	0.999902						1.000000	5.000000	0.507481
YCL043C	YFL031W	0.999901						1.000000	5.000000	0.494756
YER062C	YMR172W	0.999898						1.000000	5.000000	0.484521
YDR497C	YHL020C	0.999894						1.000000	5.000000	0.461507
YLR286C	YDR146C	0.999894						1.000000	5.000000	0.465614
YOR303W	YMR042W	0.999892						1.000000	5.000000	0.471717
YGL077C	YMR021C	0.999886						1.000000	5.000000	0.451924
YGL226W	YHL009C	0.999885						1.000000	5.000000	0.455898
YLR286C	YGL096W	0.999882						1.000000	5.000000	0.429359
YOR293W	YLR223C	0.999880						1.000000	5.000000	0.426134
YJL106W	YJR094C	0.999876						1.000000	5.000000	0.435370
YMR202W	YLR228C	0.999876						1.000000	5.000000	0.491891
YGL253W	YGL035C	0.999872						1.000000	5.000000	0.397420
YPR141C	YCL055W	0.999872						1.000000	5.000000	0.410200
YGL055W	YMR164C	0.999867						1.000000	5.000000	0.409949
YOL155C	YJL056C	0.999863						1.000000	5.000000	0.396579
YNL134C	YOL089C	0.999861						1.000000	5.000000	0.393049
YBL042C	YOL116W	0.999860						1.000000	5.000000	0.378960
YIR032C	YKR034W	0.999857						1.000000	5.000000	0.384624
YLR420W	YLR014C	0.999855						1.000000	5.000000	0.370634
YGR172C	YPL248C	0.999854						1.000000	5.000000	0.422498
YDR084C	YML099C	0.999853						1.000000	5.000000	0.367517
YCL063W	YIL131C	0.999850						1.000000	5.000000	0.356542
YOR236W	YIL131C	0.999849						1.000000	5.000000	0.383246
YGR209C	YOL028C	0.999849						1.000000	5.000000	0.362912
YBL027W	YLR223C	0.999845						1.000000	5.000000	0.401999
YLR304C	YIR023W	0.999838						1.000000	5.000000	0.353854
YOL055C	YDR081C	0.999837						1.000000	5.000000	0.347996
YGL028C	YLR131C	0.999834						1.000000	5.000000	0.357899
YDL182W	YDR463W	0.999834						1.000000	5.000000	0.356218
