target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YLR360W	YBR083W	0.999980						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999980						1.000000	5.000000	1.000000
YCL063W	YLR098C	0.999980						1.000000	5.000000	1.000000
YDR332W	YGL013C	0.999980						1.000000	5.000000	1.000000
YPL092W	YIL131C	0.999980						1.000000	5.000000	1.000000
YPL092W	YGL254W	0.999980						1.000000	5.000000	1.000000
YCL063W	YIL131C	0.999980						1.000000	5.000000	1.000000
YPR157W	YIL131C	0.999980						1.000000	5.000000	1.000000
YPR157W	YPR008W	0.999980						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999980						1.000000	5.000000	1.000000
YLR360W	YGL013C	0.999980						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999980						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999980						1.000000	5.000000	1.000000
YPR157W	YBR083W	0.999980						1.000000	5.000000	1.000000
YPR157W	YMR037C	0.999980						1.000000	5.000000	1.000000
YPL092W	YEL009C	0.999980						1.000000	5.000000	1.000000
YPL092W	YHR124W	0.999980						1.000000	5.000000	1.000000
YPR157W	YML007W	0.999980						1.000000	5.000000	1.000000
YOR378W	YOR380W	0.999975						1.000000	5.000000	1.000000
YOR378W	YER111C	0.999974						1.000000	5.000000	1.000000
YOR378W	YLR176C	0.999974						1.000000	5.000000	1.000000
YOR378W	YJR060W	0.999972						1.000000	5.000000	1.000000
YOR378W	YDR253C	0.999971						1.000000	5.000000	1.000000
YIL162W	YGL209W	0.999963						1.000000	5.000000	0.988869
YBR019C	YML051W	0.999961						1.000000	5.000000	1.000000
YIL162W	YGL035C	0.999960						1.000000	5.000000	0.922977
YBR019C	YOR363C	0.999955						1.000000	5.000000	1.000000
YNR001C	YGL252C	0.999955						1.000000	5.000000	0.883086
YBR019C	YPL248C	0.999955						1.000000	5.000000	1.000000
YIL162W	YDR043C	0.999954						1.000000	5.000000	0.843426
YBR019C	YDR043C	0.999953						1.000000	5.000000	1.000000
YBR092C	YDR081C	0.999952						1.000000	5.000000	0.867752
YJL148W	YGR044C	0.999949						1.000000	5.000000	0.834261
YJR044C	YPR199C	0.999948						1.000000	5.000000	0.822936
YHR128W	YDR520C	0.999945						1.000000	5.000000	0.815346
YFL021W	YJL110C	0.999944						1.000000	5.000000	0.767650
YDR515W	YJR127C	0.999943						1.000000	5.000000	0.778126
YMR202W	YDR213W	0.999941						1.000000	5.000000	0.798150
YDR101C	YPL128C	0.999938						1.000000	5.000000	0.757930
YBR222C	YMR019W	0.999937						1.000000	5.000000	0.745380
YNL312W	YDL170W	0.999937						1.000000	5.000000	0.740854
YPR173C	YHL009C	0.999937						1.000000	5.000000	0.736629
YIL162W	YCR084C	0.999935						1.000000	5.000000	0.645508
YMR186W	YDR259C	0.999932						1.000000	5.000000	0.678809
YJL178C	YLR013W	0.999927						1.000000	5.000000	0.632810
YIL162W	YDR123C	0.999926						1.000000	5.000000	0.596449
YDR174W	YJL089W	0.999926						1.000000	5.000000	0.627997
YDR154C	YER169W	0.999925						1.000000	5.000000	0.664925
YKL164C	YDR146C	0.999925						1.000000	5.000000	0.618279
YKL216W	YLR014C	0.999923						1.000000	5.000000	0.604423
YBR166C	YKR034W	0.999921						1.000000	5.000000	0.589517
YNR001C	YMR182C	0.999920						1.000000	5.000000	0.551353
YLR375W	YMR182C	0.999917						1.000000	5.000000	0.571880
YKL096W	YBR182C	0.999917						1.000000	5.000000	0.573057
YGR234W	YOL089C	0.999916						1.000000	5.000000	0.569678
YNR001C	YBL021C	0.999916						1.000000	5.000000	0.537653
YNR001C	YBL103C	0.999911						1.000000	5.000000	0.509302
YER062C	YMR172W	0.999911						1.000000	5.000000	0.553215
YBR068C	YHR006W	0.999911						1.000000	5.000000	0.552483
YER025W	YMR042W	0.999910						1.000000	5.000000	0.547700
YFL021W	YLR131C	0.999904						1.000000	5.000000	0.440151
YDL075W	YOR032C	0.999904						1.000000	5.000000	0.511673
YML008C	YMR070W	0.999900						1.000000	5.000000	0.503689
YNL300W	YKL185W	0.999900						1.000000	5.000000	0.497546
YNR044W	YCL055W	0.999897						1.000000	5.000000	0.497860
YFR017C	YER028C	0.999896						1.000000	5.000000	0.479368
YPL111W	YMR042W	0.999895						1.000000	5.000000	0.480034
YLR420W	YLR014C	0.999894						1.000000	5.000000	0.476960
YDR345C	YKL038W	0.999894						1.000000	5.000000	0.476942
YJR139C	YOR032C	0.999893						1.000000	5.000000	0.468298
YPL231W	YHL020C	0.999890						1.000000	5.000000	0.466612
YPL111W	YML099C	0.999886						1.000000	5.000000	0.449795
YGL253W	YKL038W	0.999885						1.000000	5.000000	0.438851
YML085C	YCR065W	0.999884						1.000000	5.000000	0.431364
YJR048W	YBL021C	0.999883						1.000000	5.000000	0.432392
YKL182W	YHL020C	0.999880						1.000000	5.000000	0.420934
YGL253W	YGL035C	0.999878						1.000000	5.000000	0.408295
YFL021W	YGL237C	0.999876						1.000000	5.000000	0.340755
YPL028W	YDR451C	0.999876						1.000000	5.000000	0.400366
YCR107W	YCR106W	0.999875						1.000000	5.000000	0.386091
YNL327W	YDR146C	0.999872						1.000000	5.000000	0.386772
YHR208W	YLR451W	0.999871						1.000000	5.000000	0.386681
YNR001C	YKL109W	0.999870						1.000000	5.000000	0.347480
YDL022W	YOL116W	0.999867						1.000000	5.000000	0.373924
YJL217W	YMR021C	0.999867						1.000000	5.000000	0.372110
YCL043C	YFL031W	0.999865						1.000000	5.000000	0.369200
YMR202W	YMR070W	0.999863						1.000000	5.000000	0.370363
YJL034W	YFL031W	0.999863						1.000000	5.000000	0.363062
YPR141C	YCL055W	0.999862						1.000000	5.000000	0.348698
YDL130W	YLR223C	0.999858						0.000000	5.000000	0.357091
YBR296C	YKL185W	0.999858						1.000000	5.000000	0.357315
YBL042C	YOL116W	0.999858						1.000000	5.000000	0.356237
YKL007W	YMR164C	0.999857						1.000000	5.000000	0.350669
YGR172C	YPL248C	0.999856						1.000000	5.000000	0.341671
YDR084C	YML099C	0.999853						1.000000	5.000000	0.342004
YGL055W	YMR164C	0.999851						1.000000	5.000000	0.341466
YHR200W	YGL096W	0.999849						1.000000	5.000000	0.336719
YKR007W	YBR297W	0.999844						1.000000	5.000000	0.320978
YBR067C	YPL133C	0.999843						1.000000	5.000000	0.319539
YCR107W	YER169W	0.999843						1.000000	5.000000	0.306479
YDL022W	YMR172W	0.999843						1.000000	5.000000	0.316234
YBR296C	YMR021C	0.999841						1.000000	5.000000	0.311539
YHR064C	YBL005W	0.999837						1.000000	5.000000	0.306864
YHR051W	YBL021C	0.999836						1.000000	5.000000	0.303783
