target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YLR360W	YOR230W	0.999984						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999984						1.000000	5.000000	1.000000
YOR378W	YLR176C	0.999984						1.000000	5.000000	1.000000
YOR378W	YJR060W	0.999984						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999984						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999984						1.000000	5.000000	1.000000
YOR378W	YER111C	0.999984						1.000000	5.000000	1.000000
YOR378W	YHR084W	0.999984						1.000000	5.000000	1.000000
YLR360W	YBR083W	0.999984						1.000000	5.000000	1.000000
YLR360W	YGL013C	0.999984						1.000000	5.000000	1.000000
YDR332W	YGL013C	0.999984						1.000000	5.000000	1.000000
YOR378W	YOR380W	0.999984						1.000000	5.000000	1.000000
YOR378W	YDR253C	0.999984						1.000000	5.000000	1.000000
YCL063W	YLR098C	0.999984						1.000000	5.000000	1.000000
YCL063W	YIL131C	0.999984						1.000000	5.000000	1.000000
YPR157W	YPR008W	0.999982						1.000000	5.000000	1.000000
YPR157W	YIL131C	0.999981						1.000000	5.000000	1.000000
YPR157W	YMR037C	0.999972						1.000000	5.000000	1.000000
YPR157W	YML007W	0.999971						1.000000	5.000000	1.000000
YAL040C	YOR113W	0.999967						1.000000	5.000000	0.890591
YNR001C	YGL252C	0.999964						1.000000	5.000000	0.814491
YCR005C	YDR213W	0.999962						1.000000	5.000000	0.801834
YMR202W	YDR213W	0.999961						1.000000	5.000000	0.761638
YFR017C	YER028C	0.999961						1.000000	5.000000	0.788377
YJL153C	YOR140W	0.999958						1.000000	5.000000	0.746428
YJR044C	YPR199C	0.999955						1.000000	5.000000	0.731486
YDR101C	YPL128C	0.999954						1.000000	5.000000	0.684472
YDR515W	YJR127C	0.999953						1.000000	5.000000	0.714025
YJL153C	YHL020C	0.999950						1.000000	5.000000	0.702224
YJR139C	YOR032C	0.999950						1.000000	5.000000	0.666620
YPR173C	YHL009C	0.999950						1.000000	5.000000	0.671689
YKL096W	YBR182C	0.999946						1.000000	5.000000	0.659324
YHR128W	YDR520C	0.999944						1.000000	5.000000	0.653096
YCR005C	YOL067C	0.999944						1.000000	5.000000	0.641387
YOL155C	YGR044C	0.999943						1.000000	5.000000	0.641111
YKR039W	YDR259C	0.999942						1.000000	5.000000	0.635005
YPR141C	YCL055W	0.999940						1.000000	5.000000	0.636229
YDL022W	YOL116W	0.999938						1.000000	5.000000	0.599610
YJL178C	YLR013W	0.999935						1.000000	5.000000	0.547623
YJR148W	YJR147W	0.999934						1.000000	5.000000	0.587152
YBR222C	YMR019W	0.999934						1.000000	5.000000	0.566516
YIR032C	YKR034W	0.999931						1.000000	5.000000	0.545300
YLR375W	YMR182C	0.999930						1.000000	5.000000	0.537767
YJL088W	YMR042W	0.999930						1.000000	5.000000	0.540950
YOR289W	YHR006W	0.999930						1.000000	5.000000	0.535928
YDR345C	YKL038W	0.999928						1.000000	5.000000	0.524354
YDR378C	YDR421W	0.999926						1.000000	5.000000	0.515548
YBR019C	YML051W	0.999924						1.000000	5.000000	0.878238
YML085C	YCR065W	0.999921						1.000000	5.000000	0.498738
YGR019W	YDL170W	0.999916						1.000000	5.000000	0.460056
YDR154C	YER169W	0.999914						1.000000	5.000000	0.453117
YGR234W	YOL089C	0.999914						1.000000	5.000000	0.454137
YNL312W	YDL170W	0.999914						1.000000	5.000000	0.450792
YER025W	YMR042W	0.999911						1.000000	5.000000	0.449445
YKL216W	YLR014C	0.999911						1.000000	5.000000	0.440787
YER062C	YMR172W	0.999905						1.000000	5.000000	0.419263
YEL021W	YLR014C	0.999902						1.000000	5.000000	0.418618
YBR137W	YDR520C	0.999901						1.000000	5.000000	0.414276
YNL300W	YKL185W	0.999895						1.000000	5.000000	0.407852
YOL055C	YDR081C	0.999895						1.000000	5.000000	0.412969
YGR019W	YKR034W	0.999895						1.000000	5.000000	0.404213
YKL007W	YMR164C	0.999891						1.000000	5.000000	0.389543
YDL022W	YMR172W	0.999891						1.000000	5.000000	0.389334
YMR202W	YOL067C	0.999891						0.000000	-5.000000	0.398545
YHR179W	YJL089W	0.999890						1.000000	5.000000	0.392439
YBL027W	YLR223C	0.999889						1.000000	5.000000	0.464076
YKR024C	YPL128C	0.999887						1.000000	5.000000	0.410066
YOL155C	YJL056C	0.999887						1.000000	5.000000	0.393949
YJL034W	YFL031W	0.999884						1.000000	5.000000	0.376303
YGL077C	YMR021C	0.999883						1.000000	5.000000	0.384160
YCL043C	YFL031W	0.999883						1.000000	5.000000	0.378803
YGL226W	YHL009C	0.999880						1.000000	5.000000	0.382442
YDR298C	YKL109W	0.999878						1.000000	5.000000	0.375511
YHR087W	YMR172W	0.999876						1.000000	5.000000	0.373487
YDR055W	YKL185W	0.999874						1.000000	5.000000	0.383041
YDR225W	YER111C	0.999868						1.000000	5.000000	0.347326
YHL048W	YMR182C	0.999867						1.000000	5.000000	0.358985
YFR041C	YMR019W	0.999865						1.000000	5.000000	0.357585
YOR293W	YLR223C	0.999865						1.000000	5.000000	0.340541
YBR105C	YBR239C	0.999863						1.000000	5.000000	0.344189
YJR048W	YBL021C	0.999862						1.000000	5.000000	0.356413
YJL153C	YJR060W	0.999860						1.000000	5.000000	0.387093
YJL088W	YML099C	0.999855						1.000000	5.000000	0.334848
YHR200W	YGL096W	0.999854						1.000000	5.000000	0.337276
YML028W	YJL056C	0.999852						1.000000	5.000000	0.337755
YDR497C	YHL020C	0.999848						1.000000	5.000000	0.332514
YGR211W	YGL073W	0.999848						1.000000	5.000000	0.333315
YJL148W	YGR044C	0.999845						1.000000	5.000000	0.334494
YHR094C	YKL038W	0.999842						1.000000	5.000000	0.338302
YLR420W	YLR014C	0.999842						1.000000	5.000000	0.324103
YDR224C	YER111C	0.999840						1.000000	5.000000	0.327295
YBL030C	YKL109W	0.999839						1.000000	5.000000	0.369053
YBR092C	YDR081C	0.999835						1.000000	5.000000	0.316165
YDR174W	YJL089W	0.999835						1.000000	5.000000	0.328357
YAL040C	YER111C	0.999832						1.000000	5.000000	0.346840
YBL030C	YPL177C	0.999831						1.000000	5.000000	0.311954
YNL030W	YER111C	0.999829						1.000000	5.000000	0.330529
