target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YBR065C	YNL167C	0.999985						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999985						1.000000	5.000000	1.000000
YCL063W	YLR098C	0.999985						1.000000	5.000000	1.000000
YCL063W	YIL131C	0.999985						1.000000	5.000000	1.000000
YDR332W	YGL013C	0.999985						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999985						1.000000	5.000000	1.000000
YPR157W	YPR008W	0.999984						1.000000	5.000000	1.000000
YPR157W	YIL131C	0.999983						1.000000	5.000000	1.000000
YPR157W	YMR037C	0.999977						1.000000	5.000000	1.000000
YPR157W	YML007W	0.999973						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999969						1.000000	5.000000	0.989653
YJL153C	YOR140W	0.999967						1.000000	5.000000	0.970873
YBR019C	YML051W	0.999966						1.000000	5.000000	1.000000
YFR017C	YER028C	0.999965						1.000000	5.000000	0.866111
YJL153C	YJR060W	0.999963						1.000000	5.000000	0.840290
YJL153C	YHL020C	0.999962						1.000000	5.000000	0.837604
YCR005C	YDR213W	0.999961						1.000000	5.000000	0.813816
YNR001C	YGL252C	0.999956						1.000000	5.000000	0.763218
YNL007C	YGL073W	0.999951	1.000000	1.000000	0.001437	0.037633	0.002869	0.000000	5.000000	0.762368
YNL077W	YGL073W	0.999950						1.000000	5.000000	0.743340
YDR101C	YPL128C	0.999949						1.000000	5.000000	0.753416
YBL030C	YKL109W	0.999949						1.000000	5.000000	0.735235
YAL040C	YOR113W	0.999948						1.000000	5.000000	0.749444
YPR158W	YGL073W	0.999946						1.000000	5.000000	0.732030
YBR222C	YMR019W	0.999945						1.000000	5.000000	0.733367
YJR139C	YOR032C	0.999944						1.000000	5.000000	0.724742
YNL064C	YGL073W	0.999944						1.000000	5.000000	0.736043
YNL055C	YKL109W	0.999940						1.000000	5.000000	0.716289
YPR141C	YCL055W	0.999937						1.000000	5.000000	0.701063
YLL024C	YGL073W	0.999937						1.000000	5.000000	0.708210
YGR211W	YGL073W	0.999936						1.000000	5.000000	0.690256
YLR360W	YGL013C	0.999936						1.000000	5.000000	0.702170
YOL155C	YGR044C	0.999936						1.000000	5.000000	0.686287
YPL240C	YGL073W	0.999934	1.000000	1.000000	0.002874	0.053222	0.005731	0.000000	5.000000	0.649169
YDL022W	YOL116W	0.999931						1.000000	5.000000	0.666253
YDR258C	YGL073W	0.999926	1.000000	1.000000	0.004310	0.065184	0.008584	0.000000	5.000000	0.656802
YDR154C	YER169W	0.999924						1.000000	5.000000	0.647397
YJL144W	YGL073W	0.999922						1.000000	5.000000	0.723275
YKL096W	YBR182C	0.999920						1.000000	5.000000	0.648353
YNL006W	YGL073W	0.999916						1.000000	5.000000	0.667437
YPL106C	YGL073W	0.999915	1.000000	1.000000	0.005747	0.075269	0.011429	0.000000	5.000000	0.746268
YLR375W	YMR182C	0.999910						1.000000	5.000000	0.618378
YCR005C	YOL067C	0.999910						1.000000	5.000000	0.608621
YAL062W	YPR199C	0.999905						1.000000	5.000000	0.592929
YMR186W	YGL073W	0.999903	1.000000	1.000000	0.007184	0.084154	0.014265	0.000000	5.000000	0.609967
YFL016C	YGL073W	0.999902						1.000000	5.000000	0.586312
YNL117W	YER184C	0.999901						1.000000	5.000000	0.590175
YJL190C	YLR223C	0.999899						1.000000	5.000000	0.589232
YBR137W	YDR520C	0.999896						1.000000	5.000000	0.559401
YMR103C	YCR106W	0.999894						1.000000	5.000000	0.586797
YJL106W	YJR094C	0.999890						1.000000	5.000000	0.612172
YDR298C	YKL109W	0.999888						1.000000	5.000000	0.588014
YOR020C	YGL073W	0.999888						1.000000	5.000000	0.552824
YJL034W	YGL073W	0.999888						1.000000	5.000000	0.554322
YPR173C	YHL009C	0.999888						1.000000	5.000000	0.549324
YCR005C	YMR280C	0.999887						1.000000	5.000000	0.557904
YNL300W	YKL185W	0.999885						1.000000	5.000000	0.547706
YPR154W	YGL073W	0.999884						1.000000	5.000000	0.584768
YDL184C	YDR421W	0.999881						1.000000	5.000000	0.549383
YKL085W	YKL109W	0.999880						0.000000	5.000000	0.498465
YBR019C	YPL248C	0.999877						1.000000	5.000000	1.000000
YPL239W	YGL073W	0.999874						1.000000	5.000000	0.511457
YKL016C	YKL109W	0.999874						1.000000	5.000000	0.516299
YOR289W	YHR006W	0.999873						1.000000	5.000000	0.517412
YOR378W	YOR380W	0.999872						1.000000	5.000000	1.000000
YOL055C	YDR081C	0.999872						1.000000	5.000000	0.564553
YJR148W	YJR147W	0.999871						1.000000	5.000000	0.509799
YGL226W	YHL009C	0.999869						1.000000	5.000000	0.504152
YLR038C	YKL109W	0.999867						1.000000	5.000000	0.491860
YNR001C	YKL109W	0.999867						1.000000	5.000000	0.491899
YGR210C	YGL073W	0.999865						1.000000	5.000000	0.554299
YDR515W	YJR127C	0.999865						1.000000	5.000000	0.502932
YEL024W	YKL109W	0.999863						1.000000	5.000000	0.547462
YAL062W	YBR297W	0.999858						1.000000	5.000000	0.498896
YBR072W	YJL056C	0.999857						1.000000	5.000000	0.500922
YER074W	YLR223C	0.999853						1.000000	5.000000	0.523776
YDR171W	YGL073W	0.999852	1.000000	1.000000	0.008621	0.092188	0.017094	0.000000	5.000000	0.460792
YER103W	YGL073W	0.999852						1.000000	5.000000	0.499292
YIR032C	YKR034W	0.999850						1.000000	5.000000	0.505004
YJL088W	YMR042W	0.999850						1.000000	5.000000	0.478689
YGR142W	YGL073W	0.999850						1.000000	5.000000	0.464795
