target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YOR378W	YHR084W	0.999991						1.000000	5.000000	1.000000
YOR378W	YJR060W	0.999991						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999991						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999991						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999991						1.000000	5.000000	1.000000
YDR332W	YGL013C	0.999991						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999991						1.000000	5.000000	1.000000
YOR378W	YER111C	0.999991						1.000000	5.000000	1.000000
YLR360W	YGL013C	0.999991						1.000000	5.000000	1.000000
YOR378W	YOR380W	0.999991						1.000000	5.000000	1.000000
YOR378W	YLR176C	0.999991						1.000000	5.000000	1.000000
YOR378W	YDR253C	0.999991						1.000000	5.000000	1.000000
YLR360W	YBR083W	0.999991						1.000000	5.000000	1.000000
YBR169C	YJL110C	0.999980						1.000000	5.000000	0.972340
YJL153C	YOR140W	0.999979						1.000000	5.000000	0.961701
YPL092W	YGL254W	0.999977						1.000000	5.000000	0.952114
YJL153C	YHL020C	0.999977						1.000000	5.000000	0.947347
YIL162W	YGL209W	0.999974						1.000000	5.000000	0.901116
YDR101C	YPL128C	0.999970						1.000000	5.000000	0.798049
YNR001C	YGL252C	0.999968						1.000000	5.000000	0.766942
YGR138C	YPR008W	0.999968						1.000000	5.000000	0.758715
YCL063W	YLR098C	0.999966						1.000000	5.000000	0.746833
YBR169C	YGL073W	0.999963						1.000000	5.000000	0.716952
YJR044C	YPR199C	0.999962						1.000000	5.000000	0.736780
YMR103C	YCR106W	0.999960						1.000000	5.000000	0.717226
YKL216W	YLR014C	0.999960						1.000000	5.000000	0.717370
YDR515W	YJR127C	0.999959						1.000000	5.000000	0.743066
YCL025C	YHR006W	0.999958						1.000000	5.000000	0.702571
YCR005C	YDR213W	0.999957						1.000000	5.000000	0.695055
YMR202W	YDR213W	0.999952						1.000000	5.000000	0.643006
YPR173C	YHL009C	0.999951						1.000000	5.000000	0.664234
YHR128W	YDR520C	0.999950						1.000000	5.000000	0.660086
YPL092W	YHR124W	0.999949						1.000000	5.000000	0.662509
YIL162W	YGL035C	0.999949						1.000000	5.000000	0.650217
YKL096W	YBR182C	0.999946						1.000000	5.000000	0.640715
YLR375W	YMR182C	0.999945						1.000000	5.000000	0.652815
YJL148W	YGR044C	0.999940						1.000000	5.000000	0.630001
YJL153C	YJR060W	0.999938						1.000000	5.000000	0.644345
YPL092W	YIL131C	0.999935						1.000000	5.000000	0.609190
YFR033C	YBR239C	0.999935						1.000000	5.000000	0.566522
YDR055W	YKL185W	0.999934						1.000000	5.000000	0.591288
YJL106W	YJR094C	0.999933						1.000000	5.000000	0.568594
YOR293W	YLR223C	0.999932						1.000000	5.000000	0.660925
YNL312W	YDL170W	0.999932						1.000000	5.000000	0.586243
YML028W	YJL056C	0.999931						1.000000	5.000000	0.592784
YPL092W	YEL009C	0.999930						1.000000	5.000000	0.592489
YBL027W	YLR223C	0.999925						1.000000	5.000000	0.664936
YJL153C	YAL051W	0.999924						1.000000	5.000000	0.540177
YER025W	YMR042W	0.999922						1.000000	5.000000	0.542144
YPR141C	YCL055W	0.999920						1.000000	5.000000	0.523755
YBR222C	YMR019W	0.999918						1.000000	5.000000	0.538440
YDR345C	YKL038W	0.999915						1.000000	5.000000	0.533732
YHR087W	YMR172W	0.999913						1.000000	5.000000	0.514550
YCR005C	YOL067C	0.999912						1.000000	5.000000	0.499058
YKL164C	YDR146C	0.999911						1.000000	5.000000	0.514107
YJL190C	YLR223C	0.999910						1.000000	5.000000	0.446600
YPL106C	YGL073W	0.999906	1.000000	1.000000	0.001427	0.037497	0.002849	0.000000	5.000000	0.534079
YDL075W	YOR032C	0.999904						1.000000	5.000000	0.490120
YOR020C	YGL073W	0.999902						1.000000	5.000000	0.464364
YIL162W	YDR043C	0.999899						1.000000	5.000000	0.456398
YJR139C	YOR032C	0.999897						1.000000	5.000000	0.448247
YJL153C	YDR207C	0.999894						1.000000	5.000000	0.454282
YDR497C	YHL020C	0.999891						1.000000	5.000000	0.451194
YNL036W	YMR070W	0.999890						1.000000	5.000000	0.438452
YML085C	YCR065W	0.999889						1.000000	5.000000	0.438790
YLR420W	YLR014C	0.999889						1.000000	5.000000	0.452948
YGL226W	YHL009C	0.999888						1.000000	5.000000	0.452175
YIR032C	YKR034W	0.999888						1.000000	5.000000	0.427720
YFL014W	YMR172W	0.999884						1.000000	5.000000	0.473655
YOL140W	YMR042W	0.999883						1.000000	5.000000	0.428915
YOR298C.A	YGL073W	0.999882						0.000000	5.000000	0.421064
YCR005C	YMR280C	0.999882						1.000000	5.000000	0.410601
YGL253W	YGL035C	0.999880						1.000000	5.000000	0.433795
YDR447C	YLR403W	0.999879						1.000000	5.000000	0.426163
YDR055W	YDR146C	0.999879						1.000000	5.000000	0.412444
YPL240C	YGL073W	0.999874	1.000000	1.000000	0.002853	0.053029	0.005690	0.000000	5.000000	0.414129
YJL034W	YFL031W	0.999866						1.000000	5.000000	0.402158
YGL077C	YMR021C	0.999864						1.000000	5.000000	0.417041
YPL249C.A	YLR223C	0.999863						0.000000	5.000000	0.379745
YKR039W	YDR259C	0.999862						1.000000	5.000000	0.422685
YHR179W	YML099C	0.999862						1.000000	5.000000	0.405079
YDR154C	YER169W	0.999860						1.000000	5.000000	0.390387
YDR174W	YJL089W	0.999858						1.000000	5.000000	0.384193
YBR137W	YDR520C	0.999858						1.000000	5.000000	0.403403
YJR148W	YJR147W	0.999856						1.000000	5.000000	0.404430
YGR175C	YIR033W	0.999855						1.000000	5.000000	0.394462
YOL055C	YDR081C	0.999852						1.000000	5.000000	0.387328
YBR092C	YDR081C	0.999848						1.000000	5.000000	0.387718
YLR216C	YGL073W	0.999844						1.000000	5.000000	0.390663
YDR225W	YER111C	0.999844						1.000000	5.000000	0.388835
YAL005C	YGL073W	0.999842	1.000000	1.000000	0.004280	0.064948	0.008523	0.000000	5.000000	0.401521
YBR230C	YMR280C	0.999840						1.000000	5.000000	0.370825
YCL043C	YFL031W	0.999839						1.000000	5.000000	0.375164
YJR011C	YOL089C	0.999838						1.000000	5.000000	0.383683
YPR035W	YOL116W	0.999835						1.000000	5.000000	0.367383
YPR157W	YPR008W	0.999835						1.000000	5.000000	0.368980
YHR179W	YJL089W	0.999833						1.000000	5.000000	0.363136
YDR224C	YER111C	0.999832						1.000000	5.000000	0.360232
YER150W	YGL073W	0.999829						1.000000	5.000000	0.339091
YGL253W	YKL038W	0.999825						1.000000	5.000000	0.355951
YKL007W	YMR164C	0.999825						1.000000	5.000000	0.350269
