target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YCL063W	YIL131C	0.999987						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999987						1.000000	5.000000	1.000000
YCL063W	YLR098C	0.999987						1.000000	5.000000	1.000000
YDR332W	YGL013C	0.999987						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999987						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999987						1.000000	5.000000	1.000000
YPR157W	YPR008W	0.999978						1.000000	5.000000	0.982666
YLR360W	YOR230W	0.999978						1.000000	5.000000	0.980011
YFR017C	YER028C	0.999970						1.000000	5.000000	0.909801
YPR157W	YIL131C	0.999968						1.000000	5.000000	0.794851
YDR515W	YJR127C	0.999967						1.000000	5.000000	0.883892
YLR360W	YGL013C	0.999965						1.000000	5.000000	0.702017
YJL178C	YLR013W	0.999963						1.000000	5.000000	0.814782
YFL021W	YJL110C	0.999962						1.000000	5.000000	0.831539
YKL096W	YBR182C	0.999962						1.000000	5.000000	0.787078
YCR005C	YDR213W	0.999961						1.000000	5.000000	0.800054
YPR141C	YCL055W	0.999956						1.000000	5.000000	0.759249
YPR157W	YML007W	0.999955						1.000000	5.000000	0.642036
YNR001C	YGL252C	0.999954						1.000000	5.000000	0.741302
YDR101C	YPL128C	0.999953						1.000000	5.000000	0.715426
YDR154C	YER169W	0.999951						1.000000	5.000000	0.695904
YMR202W	YDR213W	0.999950						1.000000	5.000000	0.702027
YJR044C	YPR199C	0.999948						1.000000	5.000000	0.683633
YJR148W	YJR147W	0.999947						1.000000	5.000000	0.675548
YMR103C	YCR106W	0.999945						1.000000	5.000000	0.671138
YJL106W	YJR094C	0.999944						1.000000	5.000000	0.691068
YCR005C	YOL067C	0.999944						1.000000	5.000000	0.659889
YPR157W	YMR037C	0.999942						1.000000	5.000000	0.565082
YLR375W	YMR182C	0.999940						1.000000	5.000000	0.663414
YNL134C	YOL089C	0.999939						1.000000	5.000000	0.647070
YBR222C	YMR019W	0.999936						1.000000	5.000000	0.627909
YPR173C	YHL009C	0.999934						1.000000	5.000000	0.627860
YHR128W	YDR520C	0.999931						1.000000	5.000000	0.572427
YCL043C	YFL031W	0.999928						1.000000	5.000000	0.578228
YFR033C	YBR239C	0.999927						1.000000	5.000000	0.569936
YOR289W	YHR006W	0.999924						1.000000	5.000000	0.549807
YDR155C	YER169W	0.999924						0.000000	5.000000	0.572155
YBL027W	YLR223C	0.999912						1.000000	5.000000	0.516285
YNL300W	YKL185W	0.999911						1.000000	5.000000	0.507886
YER065C	YER184C	0.999905						1.000000	5.000000	0.519455
YGR088W	YMR172W	0.999905						1.000000	5.000000	0.520482
YNL312W	YDL170W	0.999905						1.000000	5.000000	0.517037
