target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YBR065C	YJL206C	0.999983						1.000000	5.000000	1.000000
YLR360W	YGL013C	0.999983						1.000000	5.000000	1.000000
YOR378W	YOR380W	0.999983						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999983						1.000000	5.000000	1.000000
YFR054C	YOR140W	0.999983						1.000000	5.000000	1.000000
YAL018C	YNL216W	0.999983						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999983						1.000000	5.000000	1.000000
YOR378W	YHR084W	0.999983						1.000000	5.000000	1.000000
YCL063W	YLR098C	0.999983						1.000000	5.000000	1.000000
YDR332W	YGL013C	0.999983						1.000000	5.000000	1.000000
YOR378W	YER111C	0.999983						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999983						1.000000	5.000000	1.000000
YFR054C	YJR060W	0.999983						1.000000	5.000000	1.000000
YLR360W	YBR083W	0.999983						1.000000	5.000000	1.000000
YCL063W	YIL131C	0.999983						1.000000	5.000000	1.000000
YOR378W	YDR253C	0.999983						1.000000	5.000000	1.000000
YOR378W	YJR060W	0.999983						1.000000	5.000000	1.000000
YAL018C	YJR060W	0.999983						1.000000	5.000000	1.000000
YOR378W	YLR176C	0.999983						1.000000	5.000000	1.000000
YAL018C	YGL254W	0.999983						1.000000	5.000000	1.000000
YPR157W	YPR008W	0.999980						1.000000	5.000000	1.000000
YPR157W	YIL131C	0.999977						1.000000	5.000000	1.000000
YPR157W	YMR037C	0.999973						1.000000	5.000000	1.000000
YPR157W	YML007W	0.999969						1.000000	5.000000	1.000000
YFL021W	YJL110C	0.999964						1.000000	5.000000	0.908985
YFR033C	YBR239C	0.999963						1.000000	5.000000	0.889068
YKL096W	YBR182C	0.999961						1.000000	5.000000	0.875858
YIL162W	YGL209W	0.999961						1.000000	5.000000	0.877334
YNR001C	YGL252C	0.999958						1.000000	5.000000	0.854021
YPR141C	YCL055W	0.999958						1.000000	5.000000	0.850973
YJR148W	YJR147W	0.999957						1.000000	5.000000	0.824004
YMR202W	YDR213W	0.999955						1.000000	5.000000	0.811039
YBR222C	YMR019W	0.999954						1.000000	5.000000	0.805133
YFR017C	YER028C	0.999952						1.000000	5.000000	0.773403
YCR005C	YDR213W	0.999949						1.000000	5.000000	0.699334
YIL162W	YGL035C	0.999948						1.000000	5.000000	0.719742
YDR174W	YJL089W	0.999948						1.000000	5.000000	0.706238
YJL178C	YLR013W	0.999944						1.000000	5.000000	0.633137
YCL025C	YHR006W	0.999943						1.000000	5.000000	0.627052
YFL021W	YKR034W	0.999942						1.000000	5.000000	0.679713
YJR044C	YPR199C	0.999941						1.000000	5.000000	0.630037
YPR035W	YOL116W	0.999940						1.000000	5.000000	0.615680
YMR103C	YCR106W	0.999938						1.000000	5.000000	0.607459
