target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YLR360W	YOR230W	0.999983						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999983						1.000000	5.000000	1.000000
YBR019C	YDR043C	0.999983						1.000000	5.000000	1.000000
YBR019C	YPL248C	0.999983						1.000000	5.000000	1.000000
YBR019C	YML051W	0.999983						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999983						1.000000	5.000000	1.000000
YCL063W	YIL131C	0.999983						1.000000	5.000000	1.000000
YLR360W	YGL013C	0.999983						1.000000	5.000000	1.000000
YLR360W	YBR083W	0.999983						1.000000	5.000000	1.000000
YPR157W	YIL131C	0.999983						1.000000	5.000000	1.000000
YPR157W	YBR083W	0.999983						1.000000	5.000000	1.000000
YCL063W	YLR098C	0.999983						1.000000	5.000000	1.000000
YBR019C	YDR253C	0.999983						1.000000	5.000000	1.000000
YBR019C	YOR363C	0.999983						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999983						1.000000	5.000000	1.000000
YBR019C	YMR037C	0.999983						1.000000	5.000000	1.000000
YDR332W	YGL013C	0.999983						1.000000	5.000000	1.000000
YPR157W	YPR008W	0.999983						1.000000	5.000000	1.000000
YPR157W	YML007W	0.999983						1.000000	5.000000	1.000000
YPR157W	YMR037C	0.999983						1.000000	5.000000	1.000000
YPL092W	YGL254W	0.999965						1.000000	5.000000	0.996514
YFR017C	YER028C	0.999963						1.000000	5.000000	0.978838
YBR222C	YMR019W	0.999961						1.000000	5.000000	0.868423
YJL153C	YOR140W	0.999960						1.000000	5.000000	0.839935
YOR052C	YKL185W	0.999957						1.000000	5.000000	0.803192
YFL021W	YJL110C	0.999955						1.000000	5.000000	0.789319
YJR148W	YJR147W	0.999953						1.000000	5.000000	0.771511
YLL023C	YKL038W	0.999953						1.000000	5.000000	0.763250
YCR005C	YDR213W	0.999951						1.000000	5.000000	0.757005
YJL153C	YHL020C	0.999950						1.000000	5.000000	0.750231
YPR173C	YHL009C	0.999950						1.000000	5.000000	0.763156
YPL092W	YIL131C	0.999945						1.000000	5.000000	0.733888
YDR154C	YER169W	0.999943						1.000000	5.000000	0.708578
YNR044W	YCL055W	0.999942						1.000000	5.000000	0.681699
YNL134C	YOL089C	0.999940						1.000000	5.000000	0.669148
YBR137W	YDR520C	0.999939						1.000000	5.000000	0.669916
YOR289W	YHR006W	0.999938						1.000000	5.000000	0.655181
YGR209C	YOL028C	0.999937						1.000000	5.000000	0.651465
YLR167W	YOR032C	0.999936						1.000000	5.000000	0.638063
YDR515W	YJR127C	0.999934						1.000000	5.000000	0.624061
YDL022W	YOL116W	0.999932						1.000000	5.000000	0.611337
YKL182W	YHL020C	0.999930						1.000000	5.000000	0.568445
YNL312W	YDL170W	0.999927						1.000000	5.000000	0.604633
YDR101C	YPL128C	0.999926						1.000000	5.000000	0.584960
YJR044C	YPR199C	0.999926						1.000000	5.000000	0.579327
YOL155C	YGR044C	0.999925						1.000000	5.000000	0.595251
YPL092W	YHR124W	0.999921						1.000000	5.000000	0.581045
YLR438W	YMR042W	0.999920						1.000000	5.000000	0.540316
YGL055W	YMR164C	0.999919						1.000000	5.000000	0.548601
YAL062W	YPR199C	0.999919						1.000000	5.000000	0.546753
YPL092W	YEL009C	0.999917						1.000000	5.000000	0.556078
YOR236W	YBR182C	0.999916						1.000000	5.000000	0.518160
YFR017C	YLR403W	0.999909						1.000000	5.000000	0.480823
YLR375W	YMR182C	0.999909						1.000000	5.000000	0.509610
YNL036W	YMR070W	0.999909						1.000000	5.000000	0.495358
YGL062W	YOL067C	0.999907						1.000000	5.000000	0.489558
YFR033C	YBR239C	0.999904						1.000000	5.000000	0.471067
YAL062W	YBR297W	0.999903						1.000000	5.000000	0.462656
YJL178C	YLR013W	0.999902						1.000000	5.000000	0.459473
YCR005C	YOL067C	0.999902						1.000000	5.000000	0.470101
YJR094C	YBR182C	0.999899						1.000000	5.000000	0.448675
YMR250W	YCR065W	0.999898						1.000000	5.000000	0.444677
YBL030C	YPL177C	0.999897						1.000000	5.000000	0.445525
YMR186W	YDR259C	0.999896						1.000000	5.000000	0.439245
YBR105C	YBR239C	0.999894						1.000000	5.000000	0.439047
YLR174W	YER184C	0.999888						1.000000	5.000000	0.434644
YAL040C	YOR113W	0.999887						1.000000	5.000000	0.431289
YCL043C	YFL031W	0.999886						1.000000	5.000000	0.412299
YHR051W	YBL021C	0.999885						1.000000	5.000000	0.409391
YOR120W	YPL248C	0.999885						1.000000	5.000000	0.414978
YHR174W	YJL056C	0.999881						1.000000	5.000000	0.401647
YKL216W	YLR014C	0.999878						1.000000	5.000000	0.397756
YJR145C	YLR131C	0.999878						1.000000	5.000000	0.408493
YLR355C	YLR451W	0.999875						1.000000	5.000000	0.384644
YGL055W	YIR033W	0.999875						1.000000	5.000000	0.386894
YOL055C	YDR081C	0.999872						1.000000	5.000000	0.385655
YPL111W	YMR042W	0.999872						1.000000	5.000000	0.382910
YMR103C	YCR106W	0.999871						1.000000	5.000000	0.393608
YEL021W	YLR014C	0.999869						1.000000	5.000000	0.384765
YIL160C	YER184C	0.999868						1.000000	5.000000	0.366601
