target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YLR360W	YBR083W	0.999974						1.000000	5.000000	1.000000
YOR289W	YEL009C	0.999974						1.000000	5.000000	1.000000
YLR360W	YGL013C	0.999974						1.000000	5.000000	1.000000
YOR289W	YJR060W	0.999974						1.000000	5.000000	1.000000
YBR092C	YMR043W	0.999974						1.000000	5.000000	1.000000
YDR101C	YPL128C	0.999974						1.000000	5.000000	1.000000
YDR101C	YKL032C	0.999974						1.000000	5.000000	1.000000
YOR289W	YHR006W	0.999974						1.000000	5.000000	1.000000
YBR092C	YDR081C	0.999974						1.000000	5.000000	1.000000
YBR092C	YIR018W	0.999974						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999974						1.000000	5.000000	1.000000
YJL178C	YLR013W	0.999974						1.000000	5.000000	1.000000
YBR169C	YJL110C	0.999965						1.000000	5.000000	1.000000
YBR169C	YGL073W	0.999961						1.000000	5.000000	1.000000
YBR169C	YHR206W	0.999960						1.000000	5.000000	1.000000
YBR169C	YOR028C	0.999951						1.000000	5.000000	1.000000
YAL040C	YOR113W	0.999943						1.000000	5.000000	0.946495
YCL064C	YLR098C	0.999941						1.000000	5.000000	0.928407
YBR222C	YMR019W	0.999934						1.000000	5.000000	0.761019
YBR169C	YEL009C	0.999931						1.000000	5.000000	1.000000
YCR005C	YDR213W	0.999930						1.000000	5.000000	0.731554
YJL026W	YER169W	0.999927						1.000000	5.000000	0.713032
YJR044C	YPR199C	0.999921						1.000000	5.000000	0.684403
YAL040C	YML027W	0.999919						1.000000	5.000000	0.704160
YHR128W	YDR520C	0.999912						1.000000	5.000000	0.603291
YAL040C	YFR034C	0.999910						1.000000	5.000000	0.626517
YGL062W	YOL067C	0.999908						1.000000	5.000000	0.599938
YPR173C	YHL009C	0.999905						1.000000	5.000000	0.594803
YAL040C	YDL056W	0.999895						1.000000	5.000000	0.596659
YDR055W	YKL185W	0.999893						1.000000	5.000000	0.579886
YAL040C	YMR043W	0.999893						1.000000	5.000000	0.585875
YKL182W	YHL020C	0.999893						1.000000	5.000000	0.577891
YPR035W	YOL116W	0.999890						1.000000	5.000000	0.573367
YDR174W	YJL089W	0.999886						1.000000	5.000000	0.557337
YLR375W	YMR182C	0.999882						1.000000	5.000000	0.560191
YLR174W	YER184C	0.999878						1.000000	5.000000	0.553055
YBR169C	YMR037C	0.999875						1.000000	5.000000	1.000000
YMR202W	YDR213W	0.999870						1.000000	5.000000	0.551324
YAL040C	YER111C	0.999869						1.000000	5.000000	0.562800
YJR139C	YOR032C	0.999868						1.000000	5.000000	0.524222
YJL217W	YMR021C	0.999865						1.000000	5.000000	0.523814
YDR345C	YKL038W	0.999862						1.000000	5.000000	0.516328
YAL062W	YPR199C	0.999857						1.000000	5.000000	0.505223
YGR019W	YDL170W	0.999853						1.000000	5.000000	0.494660
YCR005C	YOL067C	0.999846						1.000000	5.000000	0.470232
YGL055W	YMR164C	0.999843						1.000000	5.000000	0.462217
YER183C	YBR240C	0.999840						1.000000	5.000000	0.458900
YKL043W	YBR239C	0.999833						1.000000	5.000000	0.443487
YNL036W	YMR070W	0.999831						1.000000	5.000000	0.444359
YOR293W	YLR223C	0.999826						1.000000	5.000000	0.438518
YBR071W	YKL185W	0.999826						1.000000	5.000000	0.438114
YGL226W	YHL009C	0.999824						1.000000	5.000000	0.438294
YAL040C	YHR084W	0.999824						1.000000	5.000000	0.468218
YGL253W	YKL038W	0.999823						1.000000	5.000000	0.438032
YGL103W	YLR223C	0.999818						0.000000	5.000000	0.428059
YGR157W	YHL020C	0.999813						1.000000	5.000000	0.427592
YNR067C	YLR131C	0.999808						1.000000	5.000000	0.423052
YOR236W	YBR182C	0.999807						1.000000	5.000000	0.424330
YIL148W	YLR223C	0.999803						1.000000	5.000000	0.424999
YBL107C	YBR240C	0.999798						1.000000	5.000000	0.415784
YMR186W	YDR259C	0.999795						1.000000	5.000000	0.407075
YGR019W	YKR034W	0.999793						1.000000	5.000000	0.399822
YCL043C	YFL031W	0.999785						1.000000	5.000000	0.395504
YNL117W	YER184C	0.999781						1.000000	5.000000	0.381463
YHL048W	YMR182C	0.999778						1.000000	5.000000	0.385997
YOL039W	YLR223C	0.999777						1.000000	5.000000	0.386024
