target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YBR105C	YNL216W	0.999972						1.000000	5.000000	1.000000
YBR105C	YPL133C	0.999972						1.000000	5.000000	1.000000
YOR236W	YBR182C	0.999972						1.000000	5.000000	1.000000
YOR236W	YOR162C	0.999972						1.000000	5.000000	1.000000
YJL178C	YLR013W	0.999972						1.000000	5.000000	1.000000
YBR092C	YIR018W	0.999972						1.000000	5.000000	1.000000
YLR360W	YGL013C	0.999972						1.000000	5.000000	1.000000
YOR236W	YML007W	0.999972						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999972						1.000000	5.000000	1.000000
YLR360W	YBR083W	0.999972						1.000000	5.000000	1.000000
YOR236W	YIL131C	0.999972						1.000000	5.000000	1.000000
YDR101C	YKL032C	0.999972						1.000000	5.000000	1.000000
YBR092C	YDR081C	0.999972						1.000000	5.000000	1.000000
YBR105C	YBR239C	0.999972						1.000000	5.000000	1.000000
YDR101C	YPL128C	0.999972						1.000000	5.000000	1.000000
YBR092C	YMR043W	0.999972						1.000000	5.000000	1.000000
YIL162W	YGL209W	0.999957						1.000000	5.000000	0.957997
YIL162W	YGL035C	0.999949						1.000000	5.000000	0.845541
YIL162W	YDR043C	0.999942						1.000000	5.000000	0.739754
YBR169C	YJL110C	0.999940						1.000000	5.000000	0.912250
YCL064C	YLR098C	0.999936						1.000000	5.000000	0.905116
YJL153C	YOR140W	0.999934						1.000000	5.000000	0.899793
YIL162W	YOR028C	0.999931						1.000000	5.000000	0.649383
YJL153C	YHL020C	0.999928						1.000000	5.000000	0.857786
YNR001C	YGL252C	0.999925						1.000000	5.000000	0.805705
YIL162W	YCR084C	0.999924						1.000000	5.000000	0.634203
YMR202W	YDR213W	0.999923						1.000000	5.000000	0.837565
YPR035W	YOL116W	0.999920						1.000000	5.000000	0.744337
YBR222C	YMR019W	0.999913						1.000000	5.000000	0.709119
YGL062W	YOL067C	0.999913						1.000000	5.000000	0.706210
YFR017C	YER028C	0.999907						1.000000	5.000000	0.691152
