target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YHR128W	YDR520C	1.000000						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999996						1.000000	5.000000	1.000000
YBR105C	YBR239C	0.999994						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999992						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999992						1.000000	5.000000	1.000000
YPR157W	YPR008W	0.999985						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999984						1.000000	5.000000	1.000000
YBR019C	YML051W	0.999984						1.000000	5.000000	1.000000
YDR332W	YGL013C	0.999983						1.000000	5.000000	1.000000
YBR105C	YPL133C	0.999983						1.000000	5.000000	1.000000
YBR019C	YPL248C	0.999976						1.000000	5.000000	1.000000
YBR019C	YDR043C	0.999976						1.000000	5.000000	1.000000
YBR019C	YOR363C	0.999973						1.000000	5.000000	1.000000
YMR202W	YDR213W	0.999969						1.000000	5.000000	0.979948
YBR019C	YMR037C	0.999968						1.000000	5.000000	1.000000
YPR157W	YIL131C	0.999968						1.000000	5.000000	1.000000
YBR019C	YDR253C	0.999961						1.000000	5.000000	1.000000
YLR360W	YGL013C	0.999960						1.000000	5.000000	1.000000
YBR105C	YNL216W	0.999960						1.000000	5.000000	1.000000
YMR202W	YMR070W	0.999959						1.000000	5.000000	0.809121
YPR157W	YMR037C	0.999954						1.000000	5.000000	1.000000
YPR157W	YML007W	0.999953						1.000000	5.000000	1.000000
YBR169C	YJL110C	0.999950						1.000000	5.000000	0.959870
YMR202W	YLR228C	0.999947						1.000000	5.000000	0.754194
YIL162W	YGL209W	0.999947						1.000000	5.000000	0.860355
YOR236W	YBR182C	0.999947						1.000000	5.000000	0.841459
YOL155C	YGR044C	0.999941						1.000000	5.000000	0.787728
YFR017C	YER028C	0.999938						1.000000	5.000000	0.791551
YDR101C	YPL128C	0.999938						1.000000	5.000000	0.774602
YCL063W	YLR098C	0.999933						1.000000	5.000000	0.743980
YNR001C	YGL252C	0.999933						1.000000	5.000000	0.745152
YDR515W	YJR127C	0.999929						1.000000	5.000000	0.753297
YJR044C	YPR199C	0.999929						1.000000	5.000000	0.722949
YJL153C	YOR140W	0.999927						1.000000	5.000000	0.724758
YBR169C	YGL073W	0.999922						1.000000	5.000000	0.686973
YKR039W	YDR259C	0.999922						1.000000	5.000000	0.690517
YPR035W	YOL116W	0.999919						1.000000	5.000000	0.667074
YJL178C	YLR013W	0.999919						1.000000	5.000000	0.669735
YPR173C	YHL009C	0.999915						1.000000	5.000000	0.646164
YLR375W	YMR182C	0.999914						1.000000	5.000000	0.641632
YJL153C	YHL020C	0.999910						1.000000	5.000000	0.642775
YDR174W	YJL089W	0.999905						1.000000	5.000000	0.593628
YER001W	YOL089C	0.999905						1.000000	5.000000	0.594714
YJL026W	YER169W	0.999902						1.000000	5.000000	0.555064
YMR202W	YLR256W	0.999900						1.000000	5.000000	0.478788
YHR087W	YMR172W	0.999900						1.000000	5.000000	0.567099
YDR497C	YHL020C	0.999895						1.000000	5.000000	0.527310
YBR222C	YMR019W	0.999894						1.000000	5.000000	0.529584
YGR019W	YDL170W	0.999893						1.000000	5.000000	0.511419
YFR017C	YMR037C	0.999887						1.000000	5.000000	0.536159
YBL027W	YLR223C	0.999887						1.000000	5.000000	0.490183
YGR088W	YMR172W	0.999886						1.000000	5.000000	0.506520
YDR345C	YKL038W	0.999881						1.000000	5.000000	0.471251
YML085C	YCR065W	0.999878						1.000000	5.000000	0.457356
