target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YHR128W	YDR520C	1.000000						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999998						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999996						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999992						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999990						1.000000	5.000000	1.000000
YBR169C	YJL110C	0.999986						1.000000	5.000000	1.000000
YBR169C	YGL073W	0.999977						1.000000	5.000000	1.000000
YMR202W	YDR213W	0.999975						1.000000	5.000000	1.000000
YDR332W	YGL013C	0.999975						1.000000	5.000000	1.000000
YBR169C	YHR206W	0.999971						1.000000	5.000000	1.000000
YLR360W	YGL013C	0.999970						1.000000	5.000000	1.000000
YMR202W	YMR070W	0.999965						1.000000	5.000000	1.000000
YLR360W	YBR083W	0.999965						1.000000	5.000000	1.000000
YBR169C	YOR028C	0.999964						1.000000	5.000000	1.000000
YPL092W	YGL254W	0.999959						1.000000	5.000000	0.998469
YJR104C	YGL166W	0.999956						1.000000	5.000000	0.993451
YJL153C	YOR140W	0.999954						1.000000	5.000000	0.978502
YFR017C	YER028C	0.999953						1.000000	5.000000	0.975674
YBR019C	YML051W	0.999952						1.000000	5.000000	0.904040
YJL153C	YHL020C	0.999949						1.000000	5.000000	0.924911
YCL064C	YLR098C	0.999942						1.000000	5.000000	0.857198
YOL155C	YGR044C	0.999941						1.000000	5.000000	0.838579
YPL092W	YIL131C	0.999940						1.000000	5.000000	0.840727
YMR202W	YLR228C	0.999940						1.000000	5.000000	1.000000
YBR019C	YOR363C	0.999938						1.000000	5.000000	0.793188
YJR139C	YOR032C	0.999938						1.000000	5.000000	0.831672
YBR020W	YGL209W	0.999934						1.000000	5.000000	0.793347
YBR169C	YMR037C	0.999933						1.000000	5.000000	1.000000
YBR169C	YEL009C	0.999933						1.000000	5.000000	1.000000
YBR019C	YPL248C	0.999932						1.000000	5.000000	0.784930
YMR202W	YCR065W	0.999928						1.000000	5.000000	1.000000
YJR148W	YJR147W	0.999927						1.000000	5.000000	0.761823
YLR420W	YLR014C	0.999926						1.000000	5.000000	0.750993
YBR222C	YMR019W	0.999926						1.000000	5.000000	0.744850
YBR019C	YDR043C	0.999926						1.000000	5.000000	0.759249
YMR186W	YDR259C	0.999919						1.000000	5.000000	0.707353
YJL026W	YER169W	0.999917						1.000000	5.000000	0.697751
YCL025C	YHR006W	0.999917						1.000000	5.000000	0.709662
YOL055C	YDR081C	0.999913						1.000000	5.000000	0.676815
YJR094C	YBR182C	0.999908						1.000000	5.000000	0.669879
YPL092W	YHR124W	0.999907						1.000000	5.000000	0.666073
YGR019W	YDL170W	0.999907						1.000000	5.000000	0.669945
YNL036W	YMR070W	0.999901						1.000000	5.000000	0.649159
YDR101C	YPL128C	0.999900						1.000000	5.000000	0.632625
YBR020W	YGL035C	0.999899						1.000000	5.000000	0.594677
YNL104C	YLR451W	0.999896						1.000000	5.000000	0.625805
YNR044W	YCL055W	0.999892						1.000000	5.000000	0.604512
YJL178C	YLR013W	0.999892						1.000000	5.000000	0.610228
YLL023C	YKL038W	0.999890						1.000000	5.000000	0.612456
YBR020W	YML051W	0.999890						1.000000	5.000000	0.495515
YGR019W	YKR034W	0.999889						1.000000	5.000000	0.602449
YKL203C	YOL067C	0.999889						1.000000	5.000000	0.590136
YGR254W	YDR146C	0.999887						1.000000	5.000000	0.594413
YPR173C	YHL009C	0.999885						1.000000	5.000000	0.597934
YCL043C	YFL031W	0.999881						1.000000	5.000000	0.581010
YDR515W	YJR127C	0.999881						1.000000	5.000000	0.572790
YBR072W	YJL056C	0.999876						1.000000	5.000000	0.552798
YAL062W	YPR199C	0.999875						1.000000	5.000000	0.559837
YGR209C	YOL028C	0.999873						1.000000	5.000000	0.554326
YJR044C	YPR199C	0.999868						1.000000	5.000000	0.536161
YOR303W	YMR042W	0.999867						1.000000	5.000000	0.547246
YOR285W	YDR423C	0.999866						1.000000	5.000000	0.540246
YAL062W	YBR297W	0.999865						1.000000	5.000000	0.540114
YMR250W	YCR065W	0.999852						1.000000	5.000000	0.499196
YGL055W	YMR164C	0.999851						1.000000	5.000000	0.473412
YDR497C	YHL020C	0.999849						1.000000	5.000000	0.475933
YHL048W	YMR182C	0.999842						1.000000	5.000000	0.470018
YIL072W	YJR094C	0.999836						1.000000	5.000000	0.462656
YLR375W	YMR182C	0.999835						1.000000	5.000000	0.433019
