target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YHR128W	YDR520C	0.999998						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999997						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999995						1.000000	5.000000	1.000000
YPL092W	YGL254W	0.999990						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999990						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999989						1.000000	5.000000	1.000000
YDR332W	YGL013C	0.999985						1.000000	5.000000	1.000000
YLR360W	YGL013C	0.999983						1.000000	5.000000	1.000000
YPL092W	YIL131C	0.999980						1.000000	5.000000	1.000000
YPL092W	YHR124W	0.999978						1.000000	5.000000	1.000000
YLR360W	YBR083W	0.999977						1.000000	5.000000	1.000000
YPL092W	YEL009C	0.999974						1.000000	5.000000	1.000000
YJR104C	YGL166W	0.999972						1.000000	5.000000	0.994751
YOL155C	YGR044C	0.999967						1.000000	5.000000	0.955536
YBR169C	YJL110C	0.999967						1.000000	5.000000	0.948429
YMR202W	YDR213W	0.999966						1.000000	5.000000	0.946027
YGR138C	YPR008W	0.999960						1.000000	5.000000	0.912872
YMR305C	YKL185W	0.999956						1.000000	5.000000	0.920145
YDR101C	YPL128C	0.999955						1.000000	5.000000	0.911955
YMR186W	YDR259C	0.999953						1.000000	5.000000	0.879264
YJR044C	YPR199C	0.999949						1.000000	5.000000	0.852183
YDR174W	YJL089W	0.999947						1.000000	5.000000	0.842662
YJR139C	YOR032C	0.999940						1.000000	5.000000	0.774201
YJL153C	YOR140W	0.999939						1.000000	5.000000	0.701126
YJR104C	YHR206W	0.999937						1.000000	5.000000	0.760640
YBR169C	YHR206W	0.999936						1.000000	5.000000	0.741193
YJL153C	YHL020C	0.999936						1.000000	5.000000	0.684615
YOR236W	YBR182C	0.999935						1.000000	5.000000	0.761875
YCL063W	YLR098C	0.999935						1.000000	5.000000	0.741551
YJL178C	YLR013W	0.999933						1.000000	5.000000	0.704389
YCL025C	YHR006W	0.999931						1.000000	5.000000	0.649807
YBR169C	YGL073W	0.999921						1.000000	5.000000	0.614441
YCL043C	YFL031W	0.999912						1.000000	5.000000	0.596766
YHL048W	YMR182C	0.999909						1.000000	5.000000	0.610625
YDR497C	YHL020C	0.999904						1.000000	5.000000	0.567669
YPR173C	YHL009C	0.999903						1.000000	5.000000	0.601055
YDR345C	YKL038W	0.999899						1.000000	5.000000	0.548952
YJL026W	YER169W	0.999897						1.000000	5.000000	0.561979
YPR141C	YCL055W	0.999892						1.000000	5.000000	0.552745
YGL077C	YMR021C	0.999891						1.000000	5.000000	0.534688
YLR286C	YGL096W	0.999888						1.000000	5.000000	0.550358
YML085C	YCR065W	0.999887						1.000000	5.000000	0.526414
YGL253W	YGL035C	0.999887						1.000000	5.000000	0.523510
YGR172C	YPL248C	0.999881						1.000000	5.000000	0.499993
YBR222C	YMR019W	0.999880						1.000000	5.000000	0.507092
YMR228W	YOL067C	0.999875						1.000000	5.000000	0.502006
YGR138C	YHR206W	0.999869						1.000000	5.000000	0.511823
YKL029C	YBR239C	0.999863						1.000000	5.000000	0.766687
YPR119W	YOR372C	0.999857						1.000000	5.000000	0.446230
YLR304C	YIR023W	0.999853						1.000000	5.000000	0.460509
YOR303W	YMR042W	0.999848						1.000000	5.000000	0.477155
YBR092C	YDR081C	0.999847						1.000000	5.000000	0.429166
YLR420W	YLR014C	0.999846						1.000000	5.000000	0.494497
YDR084C	YML099C	0.999843						1.000000	5.000000	0.460056
YMR305C	YHR206W	0.999837						1.000000	5.000000	0.645214
YOL155C	YJL056C	0.999833						1.000000	5.000000	0.445991
