target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YHR128W	YDR520C	1.000000						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999997						1.000000	5.000000	1.000000
YCL063W	YLR098C	0.999997						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999994						1.000000	5.000000	1.000000
YPL092W	YGL254W	0.999991						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999990						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999987						1.000000	5.000000	1.000000
YCL063W	YIL131C	0.999984						1.000000	5.000000	1.000000
YPR157W	YPR008W	0.999982						1.000000	5.000000	1.000000
YDR332W	YGL013C	0.999976						1.000000	5.000000	1.000000
YBR019C	YML051W	0.999973						1.000000	5.000000	1.000000
YPR157W	YIL131C	0.999969						1.000000	5.000000	1.000000
YBR019C	YPL248C	0.999968						1.000000	5.000000	1.000000
YPR157W	YML007W	0.999966						1.000000	5.000000	1.000000
YBR019C	YDR043C	0.999965						1.000000	5.000000	1.000000
YLR360W	YGL013C	0.999964						1.000000	5.000000	1.000000
YBR019C	YOR363C	0.999962						1.000000	5.000000	1.000000
YIL162W	YGL209W	0.999962						1.000000	5.000000	0.990227
YPR157W	YMR037C	0.999962						1.000000	5.000000	1.000000
YPR157W	YBR083W	0.999956						1.000000	5.000000	1.000000
YPL092W	YIL131C	0.999955						1.000000	5.000000	1.000000
YIL162W	YGL035C	0.999954						1.000000	5.000000	0.940443
YPL092W	YHR124W	0.999951						1.000000	5.000000	1.000000
YPL092W	YEL009C	0.999949						1.000000	5.000000	1.000000
YBR019C	YMR037C	0.999947						1.000000	5.000000	1.000000
YLR360W	YBR083W	0.999946						1.000000	5.000000	1.000000
YIL162W	YDR043C	0.999946						1.000000	5.000000	0.887375
YFR017C	YER028C	0.999943						1.000000	5.000000	0.971580
YCR005C	YDR213W	0.999938						1.000000	5.000000	0.875640
YNR001C	YGL252C	0.999937						1.000000	5.000000	0.862659
YDR515W	YJR127C	0.999934						1.000000	5.000000	0.824822
YBR296C	YKL185W	0.999931						1.000000	5.000000	0.801385
YFL021W	YJL110C	0.999930						1.000000	5.000000	0.767671
YBR222C	YMR019W	0.999927						1.000000	5.000000	0.770965
YGL062W	YOL067C	0.999922						1.000000	5.000000	0.717712
YGR234W	YOL089C	0.999920						1.000000	5.000000	0.703091
YIL162W	YOR028C	0.999919						1.000000	5.000000	0.820361
YMR186W	YDR259C	0.999919						1.000000	5.000000	0.689627
YPL111W	YMR042W	0.999917						1.000000	5.000000	0.682113
YDL022W	YOL116W	0.999915						1.000000	5.000000	0.657668
YLR420W	YLR014C	0.999915						1.000000	5.000000	0.668721
YCL025C	YHR006W	0.999911						1.000000	5.000000	0.651976
YGL226W	YHL009C	0.999905						1.000000	5.000000	0.595241
YKL096W	YBR182C	0.999904						1.000000	5.000000	0.613239
YJR139C	YOR032C	0.999903						1.000000	5.000000	0.597210
YDL048C	YER169W	0.999901						1.000000	5.000000	0.588346
YKL164C	YDR146C	0.999896						1.000000	5.000000	0.571774
YHR005C-A	YKL038W	0.999895						1.000000	5.000000	0.569887
YPL223C	YMR172W	0.999895						1.000000	5.000000	0.567018
YJR044C	YPR199C	0.999893						1.000000	5.000000	0.566590
YIL162W	YDR123C	0.999892						1.000000	5.000000	0.636917
YNL036W	YMR070W	0.999887						1.000000	5.000000	0.542631
YDR101C	YPL128C	0.999886						1.000000	5.000000	0.534412
YNL312W	YDL170W	0.999884						1.000000	5.000000	0.531939
YNL327W	YDR146C	0.999882						1.000000	5.000000	0.521004
YCR005C	YOL067C	0.999880						1.000000	5.000000	0.508097
YOL055C	YDR081C	0.999879						1.000000	5.000000	0.516114
YJL178C	YLR013W	0.999878						1.000000	5.000000	0.508774
YPR141C	YCL055W	0.999875						1.000000	5.000000	0.499779
YJL052W	YOL028C	0.999872						1.000000	5.000000	0.484434
YAL062W	YPR199C	0.999870						1.000000	5.000000	0.487652
YCR005C	YMR280C	0.999867						1.000000	5.000000	0.489052
YDR084C	YML099C	0.999867						1.000000	5.000000	0.472845
YCL043C	YFL031W	0.999865						1.000000	5.000000	0.474764
YLR375W	YMR182C	0.999863						1.000000	5.000000	0.471385
YPR173C	YHL009C	0.999861						1.000000	5.000000	0.465692
YHL048W	YMR182C	0.999860						1.000000	5.000000	0.458592
YLR174W	YER184C	0.999858						1.000000	5.000000	0.458767
YJL217W	YMR021C	0.999853						1.000000	5.000000	0.449165
YBR068C	YHR006W	0.999853						1.000000	5.000000	0.457187
YPL111W	YML099C	0.999843						1.000000	5.000000	0.432265
YNR044W	YCL055W	0.999843						1.000000	5.000000	0.438819
YMR202W	YDR213W	0.999842						1.000000	5.000000	0.422525
YGR043C	YMR172W	0.999842						1.000000	5.000000	0.433028
YKR097W	YER184C	0.999841						1.000000	5.000000	0.427943
YIL162W	YKL062W	0.999841						1.000000	5.000000	0.605259
YBR296C	YMR021C	0.999838						1.000000	5.000000	0.417121
YJL148W	YGR044C	0.999837						1.000000	5.000000	0.426790
YGR157W	YHL020C	0.999833						1.000000	5.000000	0.405160
YKL007W	YMR164C	0.999828						1.000000	5.000000	0.389800
YAL062W	YBR297W	0.999825						1.000000	5.000000	0.394412
YLR304C	YIR023W	0.999824						1.000000	5.000000	0.394935
YDR298C	YKL109W	0.999824						1.000000	5.000000	0.383077
YKR024C	YPL128C	0.999823						1.000000	5.000000	0.401176
YPL240C	YDR310C	0.999822						1.000000	5.000000	0.380202
YCL055W	YGR044C	0.999820						1.000000	5.000000	0.376180
YDL184C	YDR421W	0.999819						1.000000	5.000000	0.376845
YIL072W	YJR094C	0.999812						1.000000	5.000000	0.361412
YLR377C	YER184C	0.999809						1.000000	5.000000	0.362377
YGR234W	YOL028C	0.999809						1.000000	5.000000	0.362961
YER065C	YER184C	0.999806						1.000000	5.000000	0.364176
YDL022W	YMR172W	0.999804						1.000000	5.000000	0.360342
YOR136W	YBL103C	0.999803						1.000000	5.000000	0.351803
YGR254W	YPL075W	0.999799						1.000000	5.000000	0.349450
YJR095W	YJL089W	0.999797						1.000000	5.000000	0.352979
YLR377C	YGL035C	0.999794						1.000000	5.000000	0.344723
YLL023C	YKL038W	0.999790						1.000000	5.000000	0.336192
YKL182W	YHL020C	0.999784						1.000000	5.000000	0.333292
YPL231W	YHL020C	0.999784						1.000000	5.000000	0.325955
YOR136W	YDR043C	0.999782						1.000000	5.000000	0.332972
YDL179W	YDR146C	0.999782						1.000000	5.000000	0.329884
YBL107C	YBR240C	0.999778						1.000000	5.000000	0.320204
YNR002C	YGL096W	0.999776						1.000000	5.000000	0.326618
YLR304C	YBL103C	0.999775						1.000000	5.000000	0.328801
YNL117W	YER184C	0.999775						1.000000	5.000000	0.326951
YGR254W	YDR146C	0.999774						1.000000	5.000000	0.320487
YFL021W	YGL237C	0.999774						1.000000	5.000000	0.317158
YER103W	YLR228C	0.999771						1.000000	5.000000	0.319710
YGR209C	YOL028C	0.999771						1.000000	5.000000	0.319898
YJR077C	YOR358W	0.999759						1.000000	5.000000	0.303100
YBR072W	YJL056C	0.999758						1.000000	5.000000	0.306382
YNR001C	YOL067C	0.999757						1.000000	5.000000	0.307441
YHR174W	YJL056C	0.999756						1.000000	5.000000	0.308197
YNL327W	YLR131C	0.999756						1.000000	5.000000	0.309447
YJL106W	YJR094C	0.999753						1.000000	5.000000	0.305560
YNL135C	YNL314W	0.999753						1.000000	5.000000	0.300765
YBR039W	YOR358W	0.999749						1.000000	5.000000	0.301595
YDL052C	YIR033W	0.999748						1.000000	5.000000	0.296585
YBR296C	YDR043C	0.999748						1.000000	5.000000	0.305135
YLR390W-A	YPL089C	0.999746						1.000000	5.000000	0.301068
YBR068C	YLR451W	0.999746						1.000000	5.000000	0.275772
YBL064C	YKL015W	0.999745						1.000000	5.000000	0.296421
YDR148C	YKL109W	0.999742						1.000000	5.000000	0.291062
YML085C	YCR065W	0.999739						1.000000	5.000000	0.289856
YOR285W	YDR423C	0.999738						1.000000	5.000000	0.290938
YKR006C	YBR297W	0.999734						1.000000	5.000000	0.287603
YHR136C	YDR421W	0.999728						1.000000	5.000000	0.288551
YHR051W	YBL021C	0.999726						1.000000	5.000000	0.279042
YHR051W	YBL103C	0.999726						1.000000	5.000000	0.281023
YGR234W	YOR358W	0.999725						1.000000	5.000000	0.288918
YGR055W	YDR463W	0.999722						1.000000	5.000000	0.288843
YDR063W	YPL177C	0.999715						1.000000	5.000000	0.274449
YKL164C	YLR131C	0.999714						1.000000	5.000000	0.279788
YOL086C	YPL075W	0.999710						1.000000	5.000000	0.268918
YPL024W	YMR164C	0.999705						1.000000	5.000000	0.266196
YJL164C	YGL035C	0.999703						1.000000	5.000000	0.266003
YBR092C	YDR081C	0.999698						1.000000	5.000000	0.264908
YOR230W	YLR131C	0.999695						1.000000	5.000000	0.252091
YDL075W	YOR032C	0.999692						1.000000	5.000000	0.250142
YHR136C	YNL103W	0.999691						1.000000	5.000000	0.254289
YBR166C	YKR034W	0.999688						1.000000	5.000000	0.254534
YPL028W	YDR451C	0.999688						1.000000	5.000000	0.249841
YDR174W	YJL089W	0.999684						1.000000	5.000000	0.257778
YCR097W	YPL248C	0.999682						1.000000	5.000000	0.237234
YPL122C	YDL170W	0.999680						1.000000	5.000000	0.244111
YDR224C	YER111C	0.999677						1.000000	5.000000	0.248369
YHR200W	YGL096W	0.999669						1.000000	5.000000	0.236015
YOL086C	YNL199C	0.999668						1.000000	5.000000	0.235841
YOL055C	YBR240C	0.999662						1.000000	5.000000	0.224737
YER025W	YMR042W	0.999662						1.000000	5.000000	0.230112
YKR097W	YPL133C	0.999662						1.000000	5.000000	0.229737
YBR296C	YNL216W	0.999661						1.000000	5.000000	0.231941
YGL055W	YIR033W	0.999660						1.000000	5.000000	0.235267
YJR121W	YPL133C	0.999660						1.000000	5.000000	0.232880
YHR091C	YMR182C	0.999651						1.000000	5.000000	0.240658
YHR091C	YLR013W	0.999647						1.000000	5.000000	0.233555
YLR110C	YFL021W	0.999644						1.000000	5.000000	0.228055
YLR377C	YJL089W	0.999640						1.000000	5.000000	0.223420
YKR097W	YJL089W	0.999638						1.000000	5.000000	0.220855
YMR202W	YMR070W	0.999638						1.000000	5.000000	0.228439
YNL030W	YNL103W	0.999637						1.000000	5.000000	0.221357
YCR105W	YER169W	0.999630						1.000000	5.000000	0.176423
YPL156C	YPL202C	0.999629						1.000000	5.000000	0.214646
YMR193W	YPL177C	0.999629						1.000000	5.000000	0.225638
YLR194C	YDR146C	0.999628	0.000000	0.000000	0.000000	-0.000542	0.000000	0.000000	5.000000	0.227795
YJL034W	YFL031W	0.999628						1.000000	5.000000	0.217919
YNL300W	YKL185W	0.999626						1.000000	5.000000	0.226488
YLR110C	YML027W	0.999626						1.000000	5.000000	0.218678
YMR193W	YKL109W	0.999624						1.000000	5.000000	0.219857
YOR236W	YBR182C	0.999623						1.000000	5.000000	0.238618
YEL012W	YPL202C	0.999622						1.000000	5.000000	0.206741
YDR244W	YML099C	0.999620						1.000000	5.000000	0.213932
YBL015W	YMR280C	0.999619						1.000000	5.000000	0.218961
YNL031C	YIR017C	0.999616						1.000000	5.000000	0.213960
YLR350W	YDR463W	0.999612						1.000000	5.000000	0.211175
YBR230C	YMR280C	0.999612						1.000000	5.000000	0.211995
YJR009C	YNL199C	0.999611						1.000000	5.000000	0.219816
YLR216C	YGL073W	0.999606						1.000000	5.000000	0.231740
YNR001C	YKL109W	0.999605						1.000000	5.000000	0.180521
YBR109C	YIL036W	0.999605						1.000000	5.000000	0.206576
YIL072W	YKL112W	0.999604						1.000000	5.000000	0.201252
YOL083W	YBL005W	0.999604						1.000000	5.000000	0.208991
YFR017C	YMR037C	0.999604						1.000000	5.000000	0.219976
YBR109C	YDL020C	0.999601						1.000000	5.000000	0.213440
YDR377W	YDR421W	0.999596						1.000000	5.000000	0.206382
YDL215C	YMR280C	0.999595						1.000000	5.000000	0.209512
YGL062W	YNL199C	0.999593						1.000000	5.000000	0.199847
YOR120W	YPL248C	0.999589						1.000000	5.000000	0.198107
YOL077W-A	YKL109W	0.999589						1.000000	5.000000	0.205059
YNR067C	YDR146C	0.999583	0.000000	0.000000	0.000000	-0.000766	0.000000	0.000000	5.000000	0.225852
YBR208C	YKR034W	0.999581						1.000000	5.000000	0.196868
YGR256W	YNL103W	0.999581						1.000000	5.000000	0.201472
YGR175C	YIR033W	0.999579						1.000000	5.000000	0.195205
YKR007W	YBR297W	0.999577						1.000000	5.000000	0.195526
YDL174C	YMR280C	0.999575						1.000000	5.000000	0.193185
YDR225W	YER111C	0.999570						1.000000	5.000000	0.202661
YJL052W	YPR065W	0.999566						1.000000	5.000000	0.194928
YGR183C	YBL021C	0.999566						1.000000	5.000000	0.188474
YHR136C	YDL106C	0.999565						1.000000	5.000000	0.205334
YBR039W	YKL109W	0.999564						1.000000	5.000000	0.192552
YFR041C	YMR019W	0.999563						1.000000	5.000000	0.192222
YOR065W	YBL021C	0.999561						1.000000	5.000000	0.196065
YGL055W	YMR164C	0.999558						1.000000	5.000000	0.198298
YNL030W	YIR017C	0.999556						1.000000	5.000000	0.190929
YKL016C	YKL109W	0.999554						1.000000	5.000000	0.192795
YCR024C-A	YOR032C	0.999545						1.000000	5.000000	0.193104
YML081C-A	YPL133C	0.999539						1.000000	5.000000	0.185972
YDR047W	YDR463W	0.999534						1.000000	5.000000	0.181299
YGR254W	YOR344C	0.999532						1.000000	5.000000	0.187748
YNL200C	YLR176C	0.999532						1.000000	5.000000	0.189903
YPR036W	YDR451C	0.999532						1.000000	5.000000	0.180946
YKL148C	YKL109W	0.999531						1.000000	5.000000	0.185162
YBR158W	YDR146C	0.999530						1.000000	5.000000	0.182004
Q0050	YIR018W	0.999530						1.000000	5.000000	0.184008
YBL003C	YER111C	0.999525						1.000000	5.000000	0.189628
YKL185W	YDR146C	0.999524						0.000000	5.000000	0.175967
YKR097W	YIL036W	0.999522						1.000000	5.000000	0.182735
YEL034W	YIL036W	0.999520						1.000000	5.000000	0.178839
YIR032C	YKR034W	0.999517						1.000000	5.000000	0.180932
YHR110W	YDR451C	0.999515						1.000000	5.000000	0.179624
YFR017C	YKL062W	0.999510						1.000000	5.000000	0.180882
YLR287C-A	YLR131C	0.999507						1.000000	5.000000	0.169300
YNL117W	YJL089W	0.999507						1.000000	5.000000	0.179712
YDR533C	YDR423C	0.999503						1.000000	5.000000	0.171661
YBR006W	YIR023W	0.999500						1.000000	5.000000	0.179042
YPL048W	YKL043W	0.999499						1.000000	5.000000	0.179797
YDR493W	YPL248C	0.999491						1.000000	5.000000	0.179936
YGR256W	YKL015W	0.999491						1.000000	5.000000	0.167646
YDL067C	YGL237C	0.999490						1.000000	5.000000	0.175649
YBR296C	YNL027W	0.999490						1.000000	5.000000	0.169557
YJL178C	YMR182C	0.999489						0.000000	5.000000	0.165630
YDR232W	YBL021C	0.999485						1.000000	5.000000	0.176059
YGL077C	YMR021C	0.999482						1.000000	5.000000	0.172895
YNL135C	YIR018W	0.999475						1.000000	5.000000	0.163537
YCR010C	YMR280C	0.999473						1.000000	5.000000	0.163240
YOR230W	YKL043W	0.999473						1.000000	5.000000	0.176956
YGL191W	YKL109W	0.999469						1.000000	5.000000	0.174596
YBR296C	YFR034C	0.999466						1.000000	5.000000	0.167206
YGR234W	YKL109W	0.999466						1.000000	5.000000	0.165676
YKL197C	YJR127C	0.999460						1.000000	5.000000	0.165825
YDL004W	YKL109W	0.999459						1.000000	5.000000	0.169674
YHR174W	YPL075W	0.999452						1.000000	5.000000	0.159435
YLR110C	FLO8	0.999448						1.000000	5.000000	0.158929
YPR020W	YKL109W	0.999446						1.000000	5.000000	0.161335
YMR202W	YCR065W	0.999445						1.000000	5.000000	0.160377
YKL120W	YER169W	0.999442						1.000000	5.000000	0.152400
YDR155C	YPR065W	0.999442						1.000000	5.000000	0.163563
YDR378C	YDR421W	0.999436						1.000000	5.000000	0.159469
YGR189C	YDR146C	0.999436	1.000000	0.333333	0.001456	0.021246	0.002899	0.000000	5.000000	0.186440
YNL070W	YOR344C	0.999434						1.000000	5.000000	0.164966
YLR420W	YOR028C	0.999426						1.000000	5.000000	0.155650
YBR011C	YIR017C	0.999423						1.000000	5.000000	0.154013
YJL164C	YMR280C	0.999423						1.000000	5.000000	0.159954
YHR141C	YNL314W	0.999421						1.000000	5.000000	0.162834
YHR174W	YNL199C	0.999419						1.000000	5.000000	0.154368
YNL074C	YPL248C	0.999418						1.000000	5.000000	0.153891
YCL025C	YLR451W	0.999418						0.000000	-5.000000	0.150744
YDR508C	YDR463W	0.999418						1.000000	5.000000	0.149484
YNL078W	YDR146C	0.999417						1.000000	5.000000	0.146339
YDR129C	YHL027W	0.999416						1.000000	5.000000	0.152256
YPL016W	YOL116W	0.999415						1.000000	5.000000	0.156715
YPL156C	YMR280C	0.999413						1.000000	5.000000	0.154551
YCR012W	YPL075W	0.999413						1.000000	5.000000	0.151851
YPL156C	YKL015W	0.999412						1.000000	5.000000	0.157374
YHR005C-A	YOR344C	0.999411						1.000000	5.000000	0.150063
YOR075W	YBR297W	0.999409						1.000000	5.000000	0.156942
YCL018W	YLR451W	0.999403						1.000000	5.000000	0.153464
YJR009C	YOR344C	0.999401						1.000000	5.000000	0.146491
YOR045W	YKL112W	0.999400						1.000000	5.000000	0.170172
YPL240C	YDL106C	0.999398						1.000000	5.000000	0.147265
YHR200W	YKL015W	0.999398						1.000000	5.000000	0.147237
YFL039C	YBR049C	0.999393						1.000000	5.000000	0.155141
YPL158C	YDR146C	0.999390	1.000000	0.500000	0.002911	0.037342	0.005789	0.000000	5.000000	0.144955
YDR525W-A	YKL043W	0.999390						1.000000	5.000000	0.149736
YOR383C	YKL015W	0.999389						1.000000	5.000000	0.152764
YER065C	YMR280C	0.999387						1.000000	5.000000	0.145680
YPL122C	YJL089W	0.999386						1.000000	5.000000	0.153261
YKL150W	YNL167C	0.999367						1.000000	5.000000	0.139540
YJL106W	YIR018W	0.999367						1.000000	5.000000	0.139198
YDL165W	YDR451C	0.999367						1.000000	5.000000	0.152690
YCR012W	YNL103W	0.999367						1.000000	5.000000	0.152827
YGR295C	YJL056C	0.999366						1.000000	5.000000	0.149551
YER072W	YFR034C	0.999366						1.000000	5.000000	0.140441
YNL031C	YDL056W	0.999366						1.000000	5.000000	0.143942
YER183C	YBR240C	0.999357						1.000000	5.000000	0.143234
YGR243W	YGL071W	0.999354						1.000000	5.000000	0.141619
YJR007W	YBL005W	0.999352						1.000000	5.000000	0.141451
YML063W	YLR223C	0.999350						1.000000	5.000000	0.130347
YDR068W	YNL314W	0.999350						1.000000	5.000000	0.140660
YML008C	YMR070W	0.999350						1.000000	5.000000	0.146928
YOL038W	YDL106C	0.999339						1.000000	5.000000	0.142063
YDL215C	YIR023W	0.999332						1.000000	5.000000	0.146832
YDR055W	YDR146C	0.999331	1.000000	0.600000	0.004367	0.050342	0.008671	0.000000	5.000000	0.133678
YJR044C	YIR018W	0.999330						1.000000	5.000000	0.136512
