target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YHR128W	YDR520C	1.000000						1.000000	5.000000	1.000000
YCL063W	YLR098C	0.999998						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999996						1.000000	5.000000	1.000000
YPL092W	YGL254W	0.999994						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999990						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999990						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999987						1.000000	5.000000	1.000000
YCL063W	YIL131C	0.999986						1.000000	5.000000	1.000000
YPR157W	YPR008W	0.999983						1.000000	5.000000	1.000000
YBR019C	YML051W	0.999980						1.000000	5.000000	1.000000
YDR332W	YGL013C	0.999978						1.000000	5.000000	1.000000
YBR019C	YOR363C	0.999975						1.000000	5.000000	1.000000
YBR019C	YDR043C	0.999973						1.000000	5.000000	1.000000
YBR019C	YPL248C	0.999971						1.000000	5.000000	1.000000
YPL092W	YHR124W	0.999968						1.000000	5.000000	1.000000
YPR157W	YIL131C	0.999968						1.000000	5.000000	1.000000
YPL092W	YIL131C	0.999965						1.000000	5.000000	1.000000
YLR360W	YGL013C	0.999961						1.000000	5.000000	1.000000
YBR019C	YMR037C	0.999961						1.000000	5.000000	1.000000
YPR157W	YMR037C	0.999958						1.000000	5.000000	1.000000
YPR157W	YML007W	0.999956						1.000000	5.000000	1.000000
YIL162W	YGL209W	0.999955						1.000000	5.000000	0.983518
YBR019C	YDR253C	0.999954						1.000000	5.000000	1.000000
YPR157W	YBR083W	0.999951						1.000000	5.000000	1.000000
YIL162W	YGL035C	0.999949						1.000000	5.000000	0.928607
YPL092W	YEL009C	0.999949						1.000000	5.000000	1.000000
YLR360W	YBR083W	0.999947						1.000000	5.000000	1.000000
YMR202W	YDR213W	0.999941						1.000000	5.000000	0.923982
YIL162W	YDR043C	0.999940						1.000000	5.000000	0.869469
YFL021W	YJL110C	0.999939						1.000000	5.000000	0.891447
YJL148W	YGR044C	0.999938						1.000000	5.000000	0.891526
YBR092C	YDR081C	0.999934						1.000000	5.000000	0.847343
YIL162W	YCR084C	0.999933						1.000000	5.000000	0.844171
YJR044C	YPR199C	0.999931						1.000000	5.000000	0.826328
YNR001C	YGL252C	0.999930						1.000000	5.000000	0.817016
YMR186W	YDR259C	0.999927						1.000000	5.000000	0.813226
YDR515W	YJR127C	0.999926						1.000000	5.000000	0.798704
