target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YHR128W	YDR520C	1.000000						1.000000	5.000000	1.000000
YCL063W	YLR098C	0.999998						1.000000	5.000000	1.000000
YCL063W	YIL131C	0.999994						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999994						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999992						1.000000	5.000000	1.000000
YPR157W	YPR008W	0.999985						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999984						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999981						1.000000	5.000000	0.990651
YJL153C	YOR140W	0.999976						1.000000	5.000000	0.981872
YFR017C	YER028C	0.999972						1.000000	5.000000	0.883801
YPR157W	YIL131C	0.999971						1.000000	5.000000	1.000000
YOL155C	YGR044C	0.999969						1.000000	5.000000	0.889466
YJL153C	YHL020C	0.999968						1.000000	5.000000	0.869856
YPR141C	YCL055W	0.999964						1.000000	5.000000	0.863593
YCR005C	YDR213W	0.999963						1.000000	5.000000	0.813207
YLR360W	YGL013C	0.999963						1.000000	5.000000	0.812477
YJR139C	YOR032C	0.999961						1.000000	5.000000	0.820124
YNR001C	YGL252C	0.999958						1.000000	5.000000	0.792570
YKL096W	YBR182C	0.999956						1.000000	5.000000	0.787767
YPR157W	YML007W	0.999949						1.000000	5.000000	1.000000
YJL178C	YLR013W	0.999949						1.000000	5.000000	0.750598
YJL153C	YJR060W	0.999948						1.000000	5.000000	0.717238
YAL062W	YPR199C	0.999944						1.000000	5.000000	0.700942
YPR157W	YMR037C	0.999940						1.000000	5.000000	1.000000
YDR101C	YPL128C	0.999939						1.000000	5.000000	0.774769
YDL184C	YDR421W	0.999939						1.000000	5.000000	0.674283
YCR005C	YOL067C	0.999935						1.000000	5.000000	0.653773
YOR298C-A	YGL073W	0.999932						1.000000	5.000000	0.646232
YNL300W	YKL185W	0.999931						1.000000	5.000000	0.667297
YBR068C	YHR006W	0.999930						1.000000	5.000000	0.678392
YNL064C	YGL073W	0.999929						1.000000	5.000000	0.642707
YDR171W	YGL073W	0.999925	1.000000	1.000000	0.001437	0.037633	0.002869	0.000000	5.000000	0.664215
YCR005C	YMR280C	0.999922						1.000000	5.000000	0.632043
YGR234W	YOL089C	0.999921						1.000000	5.000000	0.619604
YJL088W	YMR042W	0.999917						1.000000	5.000000	0.618512
YBR222C	YMR019W	0.999916						1.000000	5.000000	0.617349
YMR202W	YDR213W	0.999911						1.000000	5.000000	0.578309
