target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YHR128W	YDR520C	0.999998						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999995						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999992						1.000000	5.000000	1.000000
YDR332W	YGL013C	0.999990						1.000000	5.000000	1.000000
YBR169C	YJL110C	0.999986						1.000000	5.000000	0.983450
YLR360W	YGL013C	0.999986						1.000000	5.000000	1.000000
YLR360W	YBR083W	0.999981						1.000000	5.000000	1.000000
YPL092W	YGL254W	0.999978						1.000000	5.000000	0.995214
YFR033C	YBR239C	0.999975						1.000000	5.000000	0.977461
YJL153C	YOR140W	0.999972						1.000000	5.000000	0.925344
YNR001C	YGL252C	0.999969						1.000000	5.000000	0.889925
YJL153C	YHL020C	0.999968						1.000000	5.000000	0.882698
YBR169C	YHR206W	0.999964						1.000000	5.000000	0.739026
YPL092W	YIL131C	0.999964						1.000000	5.000000	0.847627
YBR169C	YGL073W	0.999962						1.000000	5.000000	0.745758
YKL096W	YBR182C	0.999962						1.000000	5.000000	0.818708
YCL064C	YLR098C	0.999960						1.000000	5.000000	0.809930
YFR033C	YKL109W	0.999959						1.000000	5.000000	0.770289
YBR222C	YMR019W	0.999957						1.000000	5.000000	0.802442
YPL092W	YHR124W	0.999955						1.000000	5.000000	0.781018
YDR515W	YJR127C	0.999954						1.000000	5.000000	0.763586
YJR148W	YJR147W	0.999954						1.000000	5.000000	0.781720
YBR169C	YOR028C	0.999951						1.000000	5.000000	0.634691
YMR202W	YDR213W	0.999948						1.000000	5.000000	0.732869
YIL162W	YGL209W	0.999947						1.000000	5.000000	0.810377
YDR101C	YPL128C	0.999944						1.000000	5.000000	0.720140
YNL312W	YDL170W	0.999938						1.000000	5.000000	0.701703
YCL025C	YHR006W	0.999938						1.000000	5.000000	0.680046
YJL148W	YGR044C	0.999935						1.000000	5.000000	0.666403
YJR044C	YPR199C	0.999935						1.000000	5.000000	0.670263
YHR005C-A	YKL038W	0.999932						1.000000	5.000000	0.658832
YCR005C	YDR213W	0.999931						1.000000	5.000000	0.661270
YPR141C	YCL055W	0.999923						1.000000	5.000000	0.581634
YLR420W	YLR014C	0.999923						1.000000	5.000000	0.583649
YBR296C	YKL185W	0.999922						1.000000	5.000000	0.587879
YGL226W	YHL009C	0.999922						1.000000	5.000000	0.592525
YBR169C	YEL009C	0.999920						1.000000	5.000000	0.470572
YMR202W	YMR070W	0.999916						1.000000	5.000000	0.561142
YJL178C	YLR013W	0.999912						1.000000	5.000000	0.553818
YNL036W	YMR070W	0.999909						1.000000	5.000000	0.530706
YML028W	YJL056C	0.999909						1.000000	5.000000	0.543043
YDL075W	YOR032C	0.999902						1.000000	5.000000	0.528003
YGR138C	YPR008W	0.999902						1.000000	5.000000	0.508078
YFL014W	YOL116W	0.999901						1.000000	5.000000	0.530760
YPL231W	YHL020C	0.999900						1.000000	5.000000	0.510128
YER025W	YMR042W	0.999896						1.000000	5.000000	0.501664
YCR005C	YOL067C	0.999895						1.000000	5.000000	0.514333
YLR174W	YER184C	0.999892						1.000000	5.000000	0.494852
YPL223C	YMR172W	0.999889						1.000000	5.000000	0.477784
YDR055W	YKL185W	0.999886						1.000000	5.000000	0.465217
YBR092C	YDR081C	0.999884						1.000000	5.000000	0.492589
YDR529C	YKL109W	0.999882						1.000000	5.000000	0.464434
YOR285W	YDR423C	0.999882						1.000000	5.000000	0.459075
YML085C	YCR065W	0.999881						1.000000	5.000000	0.477333
YNL030W	YNL103W	0.999879						1.000000	5.000000	0.462147
YCL043C	YFL031W	0.999875						1.000000	5.000000	0.453588
YHR087W	YMR172W	0.999875						1.000000	5.000000	0.482512
YPR173C	YHL009C	0.999872						1.000000	5.000000	0.439257
YKL164C	YDR146C	0.999868						1.000000	5.000000	0.432137
YJR139C	YOR032C	0.999861						1.000000	5.000000	0.413919
YML008C	YMR070W	0.999859						1.000000	5.000000	0.422031
YNR001C	YKL109W	0.999858						1.000000	5.000000	0.410848
YKR006C	YBR297W	0.999848						1.000000	5.000000	0.419281
YLR375W	YMR182C	0.999844						1.000000	5.000000	0.391032
