target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YHR128W	YDR520C	1.000000						1.000000	5.000000	1.000000
YCL063W	YLR098C	0.999998						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999996						1.000000	5.000000	1.000000
YCL063W	YIL131C	0.999993						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999992						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999989						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999988						1.000000	5.000000	1.000000
YAR050W	YGR044C	0.999983						1.000000	5.000000	1.000000
YDR332W	YGL013C	0.999983						1.000000	5.000000	1.000000
YAR050W	YKL020C	0.999981						1.000000	5.000000	1.000000
YAR050W	FLO8	0.999977						1.000000	5.000000	1.000000
YPR157W	YPR008W	0.999975						1.000000	5.000000	0.965921
YLR360W	YGL013C	0.999975						1.000000	5.000000	1.000000
YAR050W	YEL009C	0.999972						1.000000	5.000000	1.000000
YAR050W	YMR016C	0.999968						1.000000	5.000000	1.000000
YLR360W	YBR083W	0.999966						1.000000	5.000000	1.000000
YNL300W	YKL185W	0.999963						1.000000	5.000000	0.934597
YPR157W	YIL131C	0.999960						1.000000	5.000000	0.782531
YMR202W	YDR213W	0.999959						1.000000	5.000000	0.866407
YJL178C	YLR013W	0.999958						1.000000	5.000000	0.874251
YFR033C	YBR239C	0.999958						1.000000	5.000000	0.867636
YFL021W	YJL110C	0.999953						1.000000	5.000000	0.823895
YNR001C	YGL252C	0.999951						1.000000	5.000000	0.797438
YFR017C	YER028C	0.999947						1.000000	5.000000	0.779475
YCR005C	YDR213W	0.999947						1.000000	5.000000	0.768014
YJR044C	YPR199C	0.999943						1.000000	5.000000	0.751638
YDR174W	YJL089W	0.999942						1.000000	5.000000	0.758335
YDR101C	YPL128C	0.999940						1.000000	5.000000	0.745534
YIL162W	YGL209W	0.999938						1.000000	5.000000	0.740614
YDR515W	YJR127C	0.999937						1.000000	5.000000	0.708712
YPR157W	YML007W	0.999936						1.000000	5.000000	0.547127
YKL096W	YBR182C	0.999936						1.000000	5.000000	0.732926
YPR157W	YMR037C	0.999935						1.000000	5.000000	0.516254
YNL312W	YDL170W	0.999933						1.000000	5.000000	0.720977
YCR005C	YOL067C	0.999932						1.000000	5.000000	0.669584
YCL043C	YFL031W	0.999926						1.000000	5.000000	0.601639
YPR173C	YHL009C	0.999925						1.000000	5.000000	0.595669
