target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YHR128W	YDR520C	0.999997						1.000000	5.000000	1.000000
YCL063W	YLR098C	0.999995						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999993						1.000000	5.000000	1.000000
YCL063W	YIL131C	0.999989						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999989						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999978						1.000000	5.000000	0.984726
YOR236W	YBR182C	0.999973						1.000000	5.000000	1.000000
YOR236W	YOR162C	0.999966						1.000000	5.000000	1.000000
YJR104C	YGL166W	0.999964						1.000000	5.000000	0.995268
YMR202W	YDR213W	0.999959						1.000000	5.000000	0.950779
YDR174W	YJL089W	0.999950						1.000000	5.000000	0.865440
YOR236W	YIL131C	0.999949						1.000000	5.000000	1.000000
YKL120W	YER169W	0.999947						1.000000	5.000000	0.855643
YJR044C	YPR199C	0.999946						1.000000	5.000000	0.837913
YGL062W	YOL067C	0.999934						1.000000	5.000000	0.763107
YLR360W	YGL013C	0.999933						1.000000	5.000000	0.674645
YAL040C	YOR113W	0.999932						1.000000	5.000000	0.813306
YDR101C	YPL128C	0.999930						1.000000	5.000000	0.783082
YJR104C	YHR206W	0.999930						1.000000	5.000000	0.777029
YGL077C	YMR021C	0.999925						1.000000	5.000000	0.761177
YGR138C	YPR008W	0.999919						1.000000	5.000000	0.760755
YML028W	YJL056C	0.999915						1.000000	5.000000	0.733360
YML085C	YCR065W	0.999901						1.000000	5.000000	0.666787
YGR157W	YHL020C	0.999899						1.000000	5.000000	0.675640
YJL178C	YLR013W	0.999897						1.000000	5.000000	0.692552
YJR044C	YIR018W	0.999878						1.000000	5.000000	0.623065
YDR055W	YKL185W	0.999875						1.000000	5.000000	0.597927
YNR044W	YCL055W	0.999873						1.000000	5.000000	0.880142
YDR345C	YKL038W	0.999861						1.000000	5.000000	0.554440
YGR209C	YOL028C	0.999860						1.000000	5.000000	0.547604
YLR286C	YGL096W	0.999859						1.000000	5.000000	0.547410
YHR183W	YDR310C	0.999856						1.000000	5.000000	0.538880
YDL184C	YDR421W	0.999839						1.000000	5.000000	0.516782
YJR139C	YOR032C	0.999838						1.000000	5.000000	0.509861
YKL216W	YLR014C	0.999815						1.000000	5.000000	0.480213
YLR303W	YNL103W	0.999806						1.000000	5.000000	0.459958
YJL159W	YDR146C	0.999800						1.000000	5.000000	0.444821
YGR172C	YPL248C	0.999790						1.000000	5.000000	0.483182
YHL048W	YMR182C	0.999789						1.000000	5.000000	0.438941
YIR028W	YIR023W	0.999778						1.000000	5.000000	0.458790
YCL043C	YFL031W	0.999773						1.000000	5.000000	0.427090
YFL021W	YJL110C	0.999771						1.000000	5.000000	0.543261
YLR375W	YMR182C	0.999762						1.000000	5.000000	0.415554
YGL253W	YKL038W	0.999737						1.000000	5.000000	0.410212
YFR033C	YBR239C	0.999725						1.000000	5.000000	0.390533
YNL036W	YMR070W	0.999724						1.000000	5.000000	0.387836
YER091C	YNL103W	0.999721						1.000000	5.000000	0.412911
YJR145C	YIL036W	0.999719						1.000000	5.000000	0.391940
YNL055C	YKL109W	0.999701						1.000000	5.000000	0.383467
YOR375C	YLR451W	0.999695						1.000000	5.000000	0.391538
YOR136W	YDR043C	0.999694						1.000000	5.000000	0.361584
YDR515W	YJR127C	0.999690						1.000000	5.000000	0.424222
YDR298C	YKL109W	0.999677						1.000000	5.000000	0.378760
YBL042C	YOL116W	0.999674						1.000000	5.000000	0.427818
YBR208C	YKR034W	0.999673						1.000000	5.000000	0.349301
YBL002W	YGR249W	0.999671						1.000000	5.000000	0.360789
YBR222C	YMR019W	0.999669						1.000000	5.000000	0.472969
YPL231W	YHL020C	0.999667						1.000000	5.000000	0.378136
YGL253W	YGL035C	0.999654						1.000000	5.000000	0.351382
YDR084C	YML099C	0.999644						1.000000	5.000000	0.350102
YDR050C	YPL075W	0.999642						1.000000	5.000000	0.344747
YGR175C	YIR033W	0.999640						1.000000	5.000000	0.369285
YDL022W	YMR172W	0.999632						1.000000	5.000000	0.348070
YBR084C-A	YLR403W	0.999631						1.000000	5.000000	0.346611
YLR286C	YDR146C	0.999628						1.000000	5.000000	0.402148
YBR039W	YOR358W	0.999624						1.000000	5.000000	0.337902
YJL088W	YMR042W	0.999620						1.000000	5.000000	0.347207
YPR119W	YOR372C	0.999617						1.000000	5.000000	0.428696
YEL021W	YLR014C	0.999608						1.000000	5.000000	0.392958
YGL226W	YHL009C	0.999606						1.000000	5.000000	0.400193
YDR055W	YDR146C	0.999601						1.000000	5.000000	0.339048
YDL182W	YDR463W	0.999593						1.000000	5.000000	0.341609
YPL028W	YDR451C	0.999591						1.000000	5.000000	0.331108
YKL043W	YBR239C	0.999586						1.000000	5.000000	0.344969
YJL106W	YJR094C	0.999574						1.000000	5.000000	0.373204
YDR025W	YLR403W	0.999566						1.000000	5.000000	0.327923
YGL062W	YNL199C	0.999564						1.000000	5.000000	0.316560
YKL197C	YJR127C	0.999564						1.000000	5.000000	0.385273
YPL249C-A	YLR403W	0.999562						1.000000	5.000000	0.317670
YBR278W	YDR501W	0.999553						0.000000	5.000000	0.393991
YJR007W	YBL005W	0.999552						1.000000	5.000000	0.312561
YDR055W	YPL089C	0.999545						1.000000	5.000000	0.318552
YJL034W	YFL031W	0.999540						1.000000	5.000000	0.304575
YKL096W-A	YNL314W	0.999530						1.000000	5.000000	0.308556
YNL117W	YER184C	0.999525						1.000000	5.000000	0.330886
YLR109W	YNL167C	0.999520						1.000000	5.000000	0.309538
YAL012W	YOL028C	0.999519						1.000000	5.000000	0.322002
YPR173C	YHL009C	0.999517						1.000000	5.000000	0.576297
YGR189C	YDR146C	0.999514						1.000000	5.000000	0.309509
YJL106W	YIR018W	0.999509						1.000000	5.000000	0.310057
YJR121W	YPL133C	0.999509						1.000000	5.000000	0.304293
YKL096W-A	YAL051W	0.999509						1.000000	5.000000	0.300826
YHR094C	YKL038W	0.999501						1.000000	5.000000	0.297813
YDL182W	YBL103C	0.999501						1.000000	5.000000	0.341977
YPR149W	YDR216W	0.999488						1.000000	5.000000	0.284566
YBR092C	YDR081C	0.999486						1.000000	5.000000	0.300012
YGR157W	YNL216W	0.999467						1.000000	5.000000	0.273018
YGL225W	YIR033W	0.999438						1.000000	5.000000	0.300737
YIR034C	YDR463W	0.999435						1.000000	5.000000	0.279452
YOR063W	YPL075W	0.999431						1.000000	5.000000	0.270722
YLR154W-C	YOR162C	0.999430						1.000000	5.000000	0.256657
YDL184C	YLR223C	0.999425						1.000000	5.000000	0.277237
YGR192C	YOR344C	0.999414						1.000000	5.000000	0.250321
YJR077C	YOR358W	0.999413						1.000000	5.000000	0.277290
YML008C	YMR070W	0.999412						1.000000	5.000000	0.283671
YFL014W	YMR172W	0.999405						1.000000	5.000000	0.293628
YIR031C	YKR034W	0.999395						1.000000	5.000000	0.276504
YER177W	YPL075W	0.999387						1.000000	5.000000	0.274455
YOL058W	YMR042W	0.999386						1.000000	5.000000	0.286019
YKL007W	YMR164C	0.999375						1.000000	5.000000	0.334792
YER072W	YFR034C	0.999373						1.000000	5.000000	0.270321
YMR194W	YDR421W	0.999367						1.000000	5.000000	0.279806
YER183C	YBR240C	0.999366						1.000000	5.000000	0.289722
YNL279W	YDR169C	0.999336						0.000000	5.000000	0.283956
YLR420W	YLR014C	0.999334						1.000000	5.000000	0.256450
YKR057W	YOR344C	0.999328						1.000000	5.000000	0.258415
YLR110C	YML027W	0.999317						1.000000	5.000000	0.287786
YML028W	YHR206W	0.999315						1.000000	5.000000	0.263108
YGR172C	YBR049C	0.999298						1.000000	5.000000	0.268656
YML024W	YLR223C	0.999293						1.000000	5.000000	0.249055
YKL001C	YKL020C	0.999281						1.000000	5.000000	0.251009
YCL018W	YLR451W	0.999273						1.000000	5.000000	0.273580
YML052W	YPL248C	0.999259						1.000000	5.000000	0.239781
YDR155C	YPR065W	0.999238						1.000000	5.000000	0.236957
YLR300W	YPL089C	0.999233						1.000000	5.000000	0.243634
YFR041C	YMR019W	0.999217						1.000000	5.000000	0.233010
YKR006C	YBR297W	0.999214						1.000000	5.000000	0.249034
YJR139C	YNL216W	0.999203						1.000000	5.000000	0.250037
YML028W	YMR037C	0.999194						1.000000	5.000000	0.248098
YBR230C	YMR280C	0.999194						1.000000	5.000000	0.251184
YGR204W	YOR358W	0.999174						1.000000	5.000000	0.295980
YBR162C	YMR037C	0.999158						1.000000	5.000000	0.240235
YDR225W	YER111C	0.999142						1.000000	5.000000	0.237573
YLL024C	YMR037C	0.999131						1.000000	5.000000	0.229693
YDL055C	YDL056W	0.999114						1.000000	5.000000	0.232892
YDR055W	YOR162C	0.999094						1.000000	5.000000	0.255963
YAL062W	YBR297W	0.999092						1.000000	5.000000	0.222856
YIL069C	YOR363C	0.999091						1.000000	5.000000	0.218342
YJL164C	YMR280C	0.999085						1.000000	5.000000	0.264354
