target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YHR128W	YDR520C	1.000000						1.000000	5.000000	1.000000
YCL063W	YLR098C	0.999998						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999996						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999994						1.000000	5.000000	1.000000
YCL063W	YIL131C	0.999991						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999990						1.000000	5.000000	1.000000
YBR019C	YML051W	0.999988						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999986						1.000000	5.000000	1.000000
YBR019C	YPL248C	0.999984						1.000000	5.000000	1.000000
YBR019C	YDR043C	0.999982						1.000000	5.000000	1.000000
YBR019C	YOR363C	0.999980						1.000000	5.000000	1.000000
YBR019C	YMR037C	0.999978						1.000000	5.000000	1.000000
YDR332W	YGL013C	0.999975						1.000000	5.000000	1.000000
YLR360W	YGL013C	0.999974						1.000000	5.000000	1.000000
YBR019C	YDR253C	0.999972						1.000000	5.000000	1.000000
YLR360W	YBR083W	0.999969						1.000000	5.000000	1.000000
YJR159W	YPL230W	0.999967						1.000000	5.000000	1.000000
YJR159W	YMR070W	0.999965						1.000000	5.000000	1.000000
YJR159W	YKL043W	0.999963						1.000000	5.000000	1.000000
YJR159W	YKL062W	0.999961						1.000000	5.000000	1.000000
YNL300W	YKL185W	0.999959						1.000000	5.000000	0.991152
YPL092W	YGL254W	0.999956						1.000000	5.000000	0.984761
YJR104C	YGL166W	0.999956						1.000000	5.000000	0.986880
YFR033C	YBR239C	0.999954						1.000000	5.000000	0.980047
YGR157W	YHL020C	0.999950						1.000000	5.000000	0.901351
YFL021W	YJL110C	0.999950						1.000000	5.000000	0.853529
YGR138C	YPR008W	0.999947						1.000000	5.000000	0.836633
YOR236W	YBR182C	0.999943						1.000000	5.000000	0.772636
YLR420W	YLR014C	0.999942						1.000000	5.000000	0.764668
YJL026W	YER169W	0.999941						1.000000	5.000000	0.758504
YFR017C	YER028C	0.999939						1.000000	5.000000	0.758439
YBR222C	YMR019W	0.999936						1.000000	5.000000	0.746543
YCR005C	YDR213W	0.999934						1.000000	5.000000	0.714895
YDR174W	YJL089W	0.999932						1.000000	5.000000	0.708099
YMR202W	YDR213W	0.999931						1.000000	5.000000	0.704842
YFL021W	YKR034W	0.999930						1.000000	5.000000	0.639283
YPR035W	YOL116W	0.999927						1.000000	5.000000	0.679806
