target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YHR128W	YDR520C	0.999999						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999996						1.000000	5.000000	1.000000
YCL063W	YLR098C	0.999996						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999993						1.000000	5.000000	1.000000
YCL063W	YIL131C	0.999989						1.000000	5.000000	1.000000
YDR332W	YER045C	0.999989						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999985						1.000000	5.000000	1.000000
YPL092W	YGL254W	0.999984						1.000000	5.000000	1.000000
YDR332W	YGL013C	0.999983						1.000000	5.000000	1.000000
YPL092W	YIL131C	0.999977						1.000000	5.000000	1.000000
YPL092W	YHR124W	0.999977						1.000000	5.000000	1.000000
YLR360W	YGL013C	0.999977						1.000000	5.000000	1.000000
YPL092W	YEL009C	0.999974						1.000000	5.000000	1.000000
YDR515W	YJR127C	0.999971						1.000000	5.000000	0.832091
YJR104C	YGL166W	0.999970						1.000000	5.000000	0.991123
YMR202W	YDR213W	0.999968						1.000000	5.000000	0.939636
YOR236W	YBR182C	0.999962						1.000000	5.000000	0.819683
YGR138C	YPR008W	0.999961						1.000000	5.000000	0.809623
YJL178C	YLR013W	0.999959						1.000000	5.000000	0.780289
YMR186W	YDR259C	0.999948						1.000000	5.000000	0.712124
YFL014W	YOL116W	0.999945						1.000000	5.000000	0.669268
YDR101C	YPL128C	0.999944						1.000000	5.000000	0.678172
YJR044C	YPR199C	0.999942						1.000000	5.000000	0.676578
YGL062W	YOL067C	0.999938						1.000000	5.000000	0.630591
YJL148W	YGR044C	0.999936						1.000000	5.000000	0.592846
YJR104C	YHR206W	0.999936						1.000000	5.000000	0.630334
YMR202W	YMR070W	0.999936						1.000000	5.000000	0.605012
YBR222C	YMR019W	0.999933						1.000000	5.000000	0.593670
YLR375W	YMR182C	0.999932						1.000000	5.000000	0.607480
YGL226W	YHL009C	0.999928						1.000000	5.000000	0.586212
YBL027W	YOL028C	0.999922						1.000000	5.000000	0.542883
YDR497C	YHL020C	0.999917						1.000000	5.000000	0.549521
YJR148W	YJR147W	0.999916						1.000000	5.000000	0.491918
YBR230C	YMR280C	0.999916						1.000000	5.000000	0.525266
YML085C	YCR065W	0.999912						1.000000	5.000000	0.507152
YCL043C	YFL031W	0.999901						1.000000	5.000000	0.470533
YBR105C	YBR239C	0.999897						1.000000	5.000000	0.480080
YNL036W	YMR070W	0.999896						1.000000	5.000000	0.466029
YML028W	YJL056C	0.999894						1.000000	5.000000	0.475016
YKL120W	YER169W	0.999892						1.000000	5.000000	0.487476
YBL027W	YLR223C	0.999889						1.000000	5.000000	0.457719
YGL077C	YMR021C	0.999889						1.000000	5.000000	0.477470
YHR087W	YMR172W	0.999884						1.000000	5.000000	0.452626
YGR019W	YDL170W	0.999882						1.000000	5.000000	0.448007
YLR303W	YNL103W	0.999882						1.000000	5.000000	0.445080
YDR345C	YKL038W	0.999872						1.000000	5.000000	0.452650
YLR174W	YER184C	0.999871						1.000000	5.000000	0.436301
YDR232W	YBL021C	0.999866						1.000000	5.000000	0.408786
YLL026W	YMR042W	0.999864						1.000000	5.000000	0.426635
YIR034C	YDR463W	0.999862						1.000000	5.000000	0.428562
YPR173C	YHL009C	0.999860						1.000000	5.000000	0.511301
YFL014W	YGL073W	0.999858						1.000000	5.000000	0.428763
YKR097W	YER184C	0.999849						1.000000	5.000000	0.378610
YNL312W	YDL170W	0.999848						1.000000	5.000000	0.407971
YDL184C	YDR421W	0.999847						1.000000	5.000000	0.406517
YDR174W	YJL089W	0.999845						1.000000	5.000000	0.405251
YHR094C	YKL038W	0.999844						1.000000	5.000000	0.403560
YOR027W	YGL073W	0.999843	1.000000	1.000000	0.001431	0.037551	0.002857	0.000000	5.000000	0.405548
YLR167W	YOR032C	0.999842						1.000000	5.000000	0.391989
YOR298C-A	YGL073W	0.999842						1.000000	5.000000	0.369624
YFR041C	YMR019W	0.999830						1.000000	5.000000	0.376260
YMR116C	YLR223C	0.999827						1.000000	5.000000	0.380454
YIR032C	YKR034W	0.999821						1.000000	5.000000	0.370365
YJL034W	YFL031W	0.999808						1.000000	5.000000	0.361257
YBR208C	YKR034W	0.999806						1.000000	5.000000	0.364218
YKL164C	YDR146C	0.999798						1.000000	5.000000	0.328355
YKL007W	YMR164C	0.999796						1.000000	5.000000	0.346402
YER001W	YOL089C	0.999795						1.000000	5.000000	0.351696
YGR019W	YKR034W	0.999786						1.000000	5.000000	0.351690
YHR179W	YJL089W	0.999776						1.000000	5.000000	0.341377
YOL055C	YDR081C	0.999769						1.000000	5.000000	0.349330
YFL014W	YMR172W	0.999769						1.000000	5.000000	0.339918
YHR208W	YLR451W	0.999768						1.000000	5.000000	0.325180
YMR186W	YGL073W	0.999766						1.000000	5.000000	0.352575
YJL106W	YJR094C	0.999762						1.000000	5.000000	0.308084
YML028W	YKL015W	0.999759						1.000000	5.000000	0.383175
YOR285W	YDR423C	0.999755						1.000000	5.000000	0.343528
YAL005C	YGL073W	0.999748						1.000000	5.000000	0.316968
YHR141C	YNL314W	0.999742						1.000000	5.000000	0.321202
YNL055C	YKL109W	0.999734						1.000000	5.000000	0.313490
YKR024C	YPL128C	0.999734						1.000000	5.000000	0.290082
YMR011W	YKL038W	0.999729						1.000000	5.000000	0.296520
YBR092C	YDR081C	0.999728						1.000000	5.000000	0.343042
YPR036W	YDR451C	0.999727						1.000000	5.000000	0.318881
YJR077C	YOR358W	0.999724						1.000000	5.000000	0.289659
YEL021W	YLR014C	0.999720						1.000000	5.000000	0.273707
YLR420W	YLR014C	0.999709						1.000000	5.000000	0.320258
YNL135C	YNL314W	0.999709						1.000000	5.000000	0.298008
YNL327W	YDR146C	0.999707						1.000000	5.000000	0.321815
YLL026W	YGL073W	0.999706						1.000000	5.000000	0.421812
YDR224C	YER111C	0.999703						1.000000	5.000000	0.294428
YBR039W	YOR358W	0.999696						1.000000	5.000000	0.309300
YHR087W	YLR176C	0.999696						1.000000	5.000000	0.304327
YJL190C	YLR223C	0.999695						1.000000	5.000000	0.275638
YDR471W	YOR032C	0.999690						1.000000	5.000000	0.270631
YBR039W	YKL109W	0.999688						1.000000	5.000000	0.311720
YGR282C	YKL112W	0.999687						1.000000	5.000000	0.350589
YER150W	YDR216W	0.999681						1.000000	5.000000	0.298340
YBR296C	YKL185W	0.999663						1.000000	5.000000	0.320869
YDR225W	YER111C	0.999661						1.000000	5.000000	0.286605
YOR020C	YGL073W	0.999659	1.000000	1.000000	0.002861	0.053106	0.005706	0.000000	5.000000	0.303265
YHR179W	YML099C	0.999656						1.000000	5.000000	0.280766
YHR018C	YER040W	0.999656						1.000000	5.000000	0.268152
YNL104C	YLR451W	0.999648						1.000000	5.000000	0.268693
YAL012W	YOL028C	0.999632						1.000000	5.000000	0.252556
YGR157W	YHL020C	0.999629						1.000000	5.000000	0.277035
YBL002W	YDL056W	0.999627						1.000000	5.000000	0.256354
YKL006W	YNL314W	0.999623						1.000000	5.000000	0.246147
YNL030W	YNL103W	0.999618						1.000000	5.000000	0.262940
YGL253W	YKL038W	0.999615						1.000000	5.000000	0.267129
YGL055W	YMR164C	0.999611						1.000000	5.000000	0.265588
YJR139C	YOR032C	0.999608						1.000000	5.000000	0.279175
YMR011W	YGL035C	0.999600						1.000000	5.000000	0.247569
YJR009C	YOR344C	0.999594						1.000000	5.000000	0.247897
YAL062W	YPR199C	0.999591						1.000000	5.000000	0.300269
YHL021C	YDR423C	0.999581						1.000000	5.000000	0.258679
YBR068C	YHR006W	0.999578						1.000000	5.000000	0.206955
YER183C	YBR240C	0.999576						1.000000	5.000000	0.295484
YDR077W	YJL056C	0.999567						1.000000	5.000000	0.251017
YHR143W	YLR131C	0.999565						1.000000	5.000000	0.274613
YGR138C	YMR037C	0.999561						1.000000	5.000000	0.304783
YMR058W	YPL202C	0.999560						1.000000	5.000000	0.271913
YKR097W	YMR280C	0.999559						1.000000	5.000000	0.249089
YPL223C	YMR172W	0.999552						1.000000	5.000000	0.303406
YHR018C	YBL103C	0.999552						1.000000	5.000000	0.252519
YDL184C	YLR223C	0.999548						1.000000	5.000000	0.291253
YMR186W	YBR049C	0.999547						1.000000	5.000000	0.216434
YKR097W	YIL036W	0.999541						1.000000	5.000000	0.225869
YOR303W	YMR042W	0.999538						1.000000	5.000000	0.233842
YHR037W	YKL015W	0.999537						1.000000	5.000000	0.250905
YLR327C	YGL073W	0.999532	1.000000	1.000000	0.004292	0.065042	0.008547	0.000000	5.000000	0.269977
YDR232W	YMR037C	0.999531						1.000000	5.000000	0.246217
YGL009C	YLR451W	0.999525						1.000000	5.000000	0.243510
YKL216W	YLR014C	0.999525						1.000000	5.000000	0.226216
YLR406C	YLR223C	0.999520						0.000000	5.000000	0.213993
YLL039C	YGL073W	0.999517	1.000000	1.000000	0.005722	0.075105	0.011380	0.000000	5.000000	0.264793
YGR254W	YDR146C	0.999510						1.000000	5.000000	0.251658
YLR056W	YLR228C	0.999509						1.000000	5.000000	0.227103
YOR293W	YLR223C	0.999505						1.000000	5.000000	0.217415
YPL037C	YNL216W	0.999504						1.000000	5.000000	0.239561
YKL001C	YNL103W	0.999497						1.000000	5.000000	0.229153
YAL062W	YBR297W	0.999496						1.000000	5.000000	0.230458
YKL182W	YHL020C	0.999495						1.000000	5.000000	0.219773
YBR011C	YIR017C	0.999483						1.000000	5.000000	0.250354
YLR110C	YFL021W	0.999479						1.000000	5.000000	0.226075
YNR050C	YPL038W	0.999477						1.000000	5.000000	0.220710
YKL113C	YBR297W	0.999471						1.000000	5.000000	0.234050
YLR142W	YKL015W	0.999467						1.000000	5.000000	0.281589
YDR064W	YLR223C	0.999466						0.000000	5.000000	0.212537
YOR236W	YIL131C	0.999448						1.000000	5.000000	0.251391
YJL178C	YMR182C	0.999442						0.000000	5.000000	0.205837
YGR243W	YGL071W	0.999433						1.000000	5.000000	0.214222
YPL024W	YMR164C	0.999427						1.000000	5.000000	0.223042
