target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YJL178C	YLR013W	0.999998						1.000000	5.000000	1.000000
YHR128W	YDR520C	0.999997						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999990						1.000000	5.000000	1.000000
YOR236W	YBR182C	0.999985						1.000000	5.000000	1.000000
YAL040C	YOR113W	0.999978						1.000000	5.000000	1.000000
YLR360W	YGL013C	0.999973						1.000000	5.000000	1.000000
YOR236W	YOR162C	0.999968						1.000000	5.000000	1.000000
YLR360W	YBR083W	0.999963						1.000000	5.000000	1.000000
YAL040C	YML027W	0.999959						1.000000	5.000000	1.000000
YOR236W	YIL131C	0.999954						1.000000	5.000000	1.000000
YOR236W	YML007W	0.999945						1.000000	5.000000	1.000000
YAL040C	YFR034C	0.999940						1.000000	5.000000	1.000000
YBR169C	YJL110C	0.999936						1.000000	5.000000	0.982345
YAL040C	YER111C	0.999935						1.000000	5.000000	1.000000
YAL040C	YDL056W	0.999930						1.000000	5.000000	1.000000
YAL040C	YPR104C	0.999925						1.000000	5.000000	1.000000
YAL040C	YIL101C	0.999920						1.000000	5.000000	1.000000
YAL040C	YMR043W	0.999914						1.000000	5.000000	1.000000
YBR169C	YGL073W	0.999914						1.000000	5.000000	0.838121
YBR169C	YHR206W	0.999913						1.000000	5.000000	0.820268
YAL040C	YDR123C	0.999908						1.000000	5.000000	1.000000
YAL040C	YHR084W	0.999897						1.000000	5.000000	1.000000
YCL064C	YLR098C	0.999889						1.000000	5.000000	0.925872
YJL026W	YER169W	0.999874						1.000000	5.000000	0.687388
YGL062W	YOL067C	0.999872						1.000000	5.000000	0.687889
YBR169C	YOR028C	0.999872						1.000000	5.000000	0.612194
YBR222C	YMR019W	0.999871						1.000000	5.000000	0.686750
YDR055W	YKL185W	0.999868						1.000000	5.000000	0.682191
YCR005C	YDR213W	0.999858						1.000000	5.000000	0.653513
YMR186W	YDR259C	0.999855						1.000000	5.000000	0.642471
YBR169C	YEL009C	0.999851						1.000000	5.000000	0.571485
YJR044C	YPR199C	0.999847						1.000000	5.000000	0.623966
YKL043W	YBR239C	0.999838						1.000000	5.000000	0.591647
YDR174W	YJL089W	0.999836						1.000000	5.000000	0.588123
YBR092C	YDR081C	0.999830						1.000000	5.000000	0.585665
YLR174W	YER184C	0.999825						1.000000	5.000000	0.570247
YJL217W	YMR021C	0.999819						1.000000	5.000000	0.562128
YGR019W	YDL170W	0.999810						1.000000	5.000000	0.548536
YPR173C	YHL009C	0.999810						1.000000	5.000000	0.549567
YCR005C	YOL067C	0.999797						1.000000	5.000000	0.528858
YER131W	YLR403W	0.999795	0.000000	0.000000	0.000000	-0.000548	0.000000	0.000000	5.000000	0.525421
YIL052C	YLR403W	0.999788	1.000000	0.500000	0.001427	0.026128	0.002845	0.000000	5.000000	0.479731
YCL043C	YFL031W	0.999786						1.000000	5.000000	0.513366
YLR375W	YMR182C	0.999783						1.000000	5.000000	0.514506
YPR035W	YOL116W	0.999775						1.000000	5.000000	0.476499
YDR025W	YLR403W	0.999775						1.000000	5.000000	0.512225
YGL226W	YHL009C	0.999771						1.000000	5.000000	0.483555
YJR139C	YOR032C	0.999765						1.000000	5.000000	0.477484
YGR209C	YOL028C	0.999747						1.000000	5.000000	0.463413
YBR169C	YMR037C	0.999747						1.000000	5.000000	0.408407
YHL048W	YMR182C	0.999741						1.000000	5.000000	0.458004
YGR019W	YKR034W	0.999739						1.000000	5.000000	0.453102
YMR202W	YDR213W	0.999734						1.000000	5.000000	0.458009
YLR286C	YPL177C	0.999733						1.000000	5.000000	0.443905
YBR189W	YLR403W	0.999729						1.000000	5.000000	0.463822
YKL007W	YMR164C	0.999723						1.000000	5.000000	0.439003
YEL021W	YLR014C	0.999722						1.000000	5.000000	0.435501
YGR234W	YOL089C	0.999713						1.000000	5.000000	0.431282
YOR312C	YLR403W	0.999711	1.000000	0.666667	0.002853	0.042983	0.005682	0.000000	5.000000	0.474005
YNL036W	YMR070W	0.999710						1.000000	5.000000	0.430433
YLR286C	YGL096W	0.999708						1.000000	5.000000	0.426349
YGL055W	YMR164C	0.999705						1.000000	5.000000	0.423398
YMR186W	YLR403W	0.999703						1.000000	5.000000	0.420532
YNL312W	YDL170W	0.999692						1.000000	5.000000	0.416189
YOR375C	YLR451W	0.999680						1.000000	5.000000	0.410160
YLR344W	YLR403W	0.999678	1.000000	0.750000	0.004280	0.055974	0.008511	0.000000	5.000000	0.378031
YLR167W	YOR032C	0.999674						1.000000	5.000000	0.403723
YPL223C	YMR172W	0.999667						1.000000	5.000000	0.407088
YDR055W	YPL089C	0.999664						1.000000	5.000000	0.398649
YAL062W	YPR199C	0.999662						1.000000	5.000000	0.406271
YML028W	YJL056C	0.999652						1.000000	5.000000	0.398513
YLR420W	YLR014C	0.999649						1.000000	5.000000	0.381246
YKR039W	YDR259C	0.999644						1.000000	5.000000	0.379804
YCR005C	YMR280C	0.999641						1.000000	5.000000	0.380533
YGL253W	YGL035C	0.999628						1.000000	5.000000	0.375152
YDR084C	YML099C	0.999625						1.000000	5.000000	0.372754
YNR067C	YLR131C	0.999625						1.000000	5.000000	0.372111
YLR167W	YLR403W	0.999613						1.000000	5.000000	0.353754
YGL253W	YKL038W	0.999601						1.000000	5.000000	0.358831
YKL164C	YDR146C	0.999599						1.000000	5.000000	0.356723
YDR345C	YKL038W	0.999596						1.000000	5.000000	0.360130
YDR225W	YER111C	0.999595						1.000000	5.000000	0.356185
YER183C	YBR240C	0.999590						1.000000	5.000000	0.356681
YOL055C	YDR081C	0.999584						1.000000	5.000000	0.353700
YBL027W	YLR403W	0.999579	0.000000	0.600000	0.004280	0.049820	0.008499	0.000000	5.000000	0.374279
YOR285W	YDR423C	0.999570						1.000000	5.000000	0.343987
YNL117W	YER184C	0.999563						1.000000	5.000000	0.345319
YDR064W	YLR403W	0.999551						1.000000	5.000000	0.342323
YBR230C	YMR280C	0.999547						1.000000	5.000000	0.333504
YJR121W	YPL133C	0.999535						1.000000	5.000000	0.329827
YML081C-A	YPL133C	0.999528						1.000000	5.000000	0.323760
YOR293W	YLR403W	0.999527						0.000000	5.000000	0.337424
YEL034W	YNL216W	0.999523						1.000000	5.000000	0.337090
YJR044C	YIR018W	0.999522						1.000000	5.000000	0.323820
YHR010W	YLR403W	0.999522						1.000000	5.000000	0.325344
YGL031C	YLR403W	0.999519	1.000000	0.666667	0.005706	0.060789	0.011315	0.000000	5.000000	0.381245
YHR136C	YDR421W	0.999517						1.000000	5.000000	0.328755
YDR224C	YER111C	0.999511						1.000000	5.000000	0.318902
YDL083C	YLR403W	0.999502						1.000000	5.000000	0.311261
YNL030W	YNL103W	0.999499						1.000000	5.000000	0.319912
YPL271W	YKL109W	0.999490						1.000000	5.000000	0.304024
YHR136C	YNL103W	0.999489						1.000000	5.000000	0.321761
YGL076C	YLR403W	0.999488	1.000000	0.714286	0.007133	0.070453	0.014124	0.000000	5.000000	0.313542
YDR450W	YLR403W	0.999487						1.000000	5.000000	0.314745
YDR055W	YDR146C	0.999482						1.000000	5.000000	0.316471
YBR072W	YJL056C	0.999472						1.000000	5.000000	0.312780
YKR097W	YER184C	0.999470						1.000000	5.000000	0.314064
YDL022W	YOL116W	0.999460						1.000000	5.000000	0.311545
YMR058W	YPL202C	0.999458						1.000000	5.000000	0.314008
