target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YJL178C	YLR013W	1.000000						1.000000	5.000000	1.000000
YHR128W	YDR520C	0.999996						1.000000	5.000000	1.000000
YDR101C	YPL128C	0.999992						1.000000	5.000000	1.000000
YDR101C	YKL032C	0.999987						1.000000	5.000000	1.000000
YCL063W	YLR098C	0.999984						1.000000	5.000000	1.000000
YPL092W	YGL254W	0.999979						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999975						1.000000	5.000000	1.000000
YGR138C	YPR008W	0.999971						1.000000	5.000000	1.000000
YOR236W	YBR182C	0.999966						1.000000	5.000000	1.000000
YCL063W	YIL131C	0.999962						1.000000	5.000000	1.000000
YGR138C	YER111C	0.999958						1.000000	5.000000	1.000000
YGR138C	YHR206W	0.999954						1.000000	5.000000	1.000000
YLR360W	YGL013C	0.999948						1.000000	5.000000	1.000000
YGR138C	YPR104C	0.999947						1.000000	5.000000	1.000000
YPL092W	YHR124W	0.999939						1.000000	5.000000	1.000000
YGR138C	YKL062W	0.999939						1.000000	5.000000	1.000000
YOR236W	YOR162C	0.999934						1.000000	5.000000	1.000000
YOR236W	YIL131C	0.999929						1.000000	5.000000	1.000000
YPL092W	YIL131C	0.999925						1.000000	5.000000	1.000000
YLR360W	YBR083W	0.999920						1.000000	5.000000	1.000000
YGR138C	YMR016C	0.999914						1.000000	5.000000	1.000000
YPL092W	YEL009C	0.999912						1.000000	5.000000	1.000000
YGR138C	YMR037C	0.999909						1.000000	5.000000	1.000000
YOR236W	YML007W	0.999904						1.000000	5.000000	1.000000
YJR104C	YGL166W	0.999899						1.000000	5.000000	0.992003
YMR186W	YDR259C	0.999895						1.000000	5.000000	0.982725
YBR296C	YKL185W	0.999891						1.000000	5.000000	0.843111
YGL062W	YOL067C	0.999882						1.000000	5.000000	0.790894
YBR068C	YHR006W	0.999879						1.000000	5.000000	0.788809
YMR202W	YDR213W	0.999874						1.000000	5.000000	0.732087
YBR296C	YMR021C	0.999870						1.000000	5.000000	0.662347
YML085C	YCR065W	0.999870						1.000000	5.000000	0.710862
YBR222C	YMR019W	0.999865						1.000000	5.000000	0.687974
YJR044C	YPR199C	0.999861						1.000000	5.000000	0.666410
YFL014W	YOL116W	0.999852						1.000000	5.000000	0.643635
YMR186W	YLR403W	0.999849						1.000000	5.000000	0.611415
YJL148W	YGR044C	0.999848						1.000000	5.000000	0.624590
YBR092C	YDR081C	0.999837						1.000000	5.000000	0.588975
