target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YBR065C_mRNA	YJL206C_mRNA	0.999999						1.000000	5.000000	1.000000
YDR332W_mRNA	YER045C_mRNA	0.999997						0.500000	5.000000	1.000000
YBR065C_mRNA	YNL167C_mRNA	0.999996						1.000000	5.000000	1.000000
YPL092W_mRNA	YGL254W_mRNA	0.999995						0.333333	5.000000	1.000000
YCL063W_mRNA	YLR098C_mRNA	0.999994						0.500000	5.000000	1.000000
YLR360W_mRNA	YOR230W_mRNA	0.999993						0.500000	5.000000	1.000000
YDR332W_mRNA	YGL013C_mRNA	0.999990						0.500000	5.000000	1.000000
YBR019C_mRNA	YML051W_mRNA	0.999986						1.000000	5.000000	1.000000
YBR019C_mRNA	YPL248C_mRNA	0.999984						1.000000	5.000000	1.000000
YCL063W_mRNA	YIL131C_mRNA	0.999983						0.500000	5.000000	1.000000
YBR019C_mRNA	YOR363C_mRNA	0.999981						1.000000	5.000000	1.000000
YLR360W_mRNA	YGL013C_mRNA	0.999979						0.500000	5.000000	1.000000
YPL092W_mRNA	YIL131C_mRNA	0.999978						0.333333	5.000000	1.000000
YBR019C_mRNA	YDR043C_mRNA	0.999977						1.000000	5.000000	1.000000
YLR360W_mRNA	YBR083W_mRNA	0.999976						0.500000	5.000000	1.000000
YPL092W_mRNA	YHR124W_mRNA	0.999975						0.333333	5.000000	1.000000
YHR128W_mRNA	YDR520C_mRNA	0.999973						0.500000	5.000000	0.998476
YMR202W_mRNA	YDR213W_mRNA	0.999973						0.166667	5.000000	0.997237
YBR068C_mRNA	YHR006W_mRNA	0.999972						0.500000	5.000000	0.998360
YJR148W_mRNA	YJR147W_mRNA	0.999970						0.125000	5.000000	0.990586
YBR019C_mRNA	YMR037C_mRNA	0.999969						1.000000	5.000000	1.000000
YDR055W_mRNA	YKL185W_mRNA	0.999966						0.333333	5.000000	0.948310
YJL178C_mRNA	YLR013W_mRNA	0.999963						0.500000	5.000000	0.841144
YFR041C_mRNA	YMR019W_mRNA	0.999962						1.000000	5.000000	0.836655
