target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YMR079W_mRNA	YFL021C-A_mRNA,YNL143C_mRNA,YFL021W_mRNA	0.999992						1.000000	5.000000	1.000000
YLR066W_mRNA	YEL009C_mRNA,YNL143C_mRNA	0.999988						1.000000	5.000000	0.951110
YMR079W_mRNA	YDR034C_mRNA	0.999988						1.000000	5.000000	1.000000
YDR129C_mRNA	YIR018C-A_mRNA,YIR018W_mRNA	0.999983						1.000000	5.000000	0.762613
YLL050C_mRNA	YNL143C_mRNA,YDR253C_mRNA	0.999978						1.000000	5.000000	0.691996
YDR086C_mRNA	YOR230W_mRNA	0.999976						1.000000	5.000000	0.691566
YKL080W_mRNA	YDR009W_mRNA	0.999975						1.000000	5.000000	0.688442
YNL096C_mRNA	YJL103C_mRNA	0.999971						1.000000	5.000000	0.676275
YGR148C_mRNA	YIL119C_mRNA	0.999968						1.000000	5.000000	0.579799
YCL009C_mRNA	YCL058C_mRNA,YCL057C-A_mRNA,YNL143C_mRNA,YGR069W_mRNA	0.999964						1.000000	5.000000	0.550432
YAL005C_mRNA	YDR366C_mRNA,YLR256W_mRNA	0.999962						1.000000	5.000000	0.667274
YGL103W_mRNA,YGL102C_mRNA	YOL116W_mRNA	0.999962						1.000000	5.000000	0.541342
YEL033W_mRNA	YIL060W_mRNA,YDR034C-A_mRNA,YHR145C_mRNA,YLR256W_mRNA	0.999961						1.000000	5.000000	0.547019
YLR110C_mRNA	YOR380W_mRNA	0.999958						1.000000	5.000000	0.522663
YHR141C_mRNA	YDR259C_mRNA,YNL143C_mRNA	0.999954						1.000000	5.000000	0.471894
YOR332W_mRNA	YJL110C_mRNA	0.999950						1.000000	5.000000	0.438332
YNL209W_mRNA	YIL101C_mRNA	0.999944						1.000000	5.000000	0.411022
YER074W_mRNA	YBR066C_mRNA,YNL143C_mRNA	0.999943						1.000000	5.000000	0.408512
YGL048C_mRNA	YGL165C_mRNA,YGL166W_mRNA	0.999943						1.000000	5.000000	0.408299
YGL148W_mRNA	YKR040C_mRNA,YEL009C_mRNA,YNL143C_mRNA	0.999935						1.000000	5.000000	0.377962
YEL034C-A_mRNA,YEL033W_mRNA	YIL060W_mRNA,YDR034C-A_mRNA,YHR145C_mRNA,YLR256W_mRNA	0.999934						1.000000	5.000000	0.384155
YER131W_mRNA	YKR040C_mRNA,YNL143C_mRNA,YPR065W_mRNA	0.999929						0.000000	-5.000000	0.352902
YMR230W_mRNA	YMR164C_mRNA	0.999927						1.000000	5.000000	0.353121
YNL045W_mRNA	YDR034C_mRNA,YNL143C_mRNA	0.999921						1.000000	5.000000	0.335845
YGR085C_mRNA	YDR259C_mRNA	0.999914						1.000000	5.000000	0.325429
YMR186W_mRNA	YLR182W_mRNA,YNL143C_mRNA	0.999914						1.000000	5.000000	0.326790
YJL190C_mRNA	YDR259C_mRNA	0.999913						1.000000	5.000000	0.326151
YDR513W_mRNA	YBL005W_mRNA	0.999908						1.000000	5.000000	0.320133
YER103W_mRNA	YML007W_mRNA	0.999907						1.000000	5.000000	0.321241
YPL218W_mRNA	YJL110C_mRNA	0.999905						1.000000	5.000000	0.312833
YCR012W_mRNA,YCR013C_mRNA	YPL254W_mRNA	0.999899						1.000000	5.000000	0.297083
YOL097C_mRNA	YDL233W_mRNA	0.999897						1.000000	5.000000	0.299494
YGL189C_mRNA	YPL248C_mRNA	0.999895						1.000000	5.000000	0.301119
YLR406C_mRNA	YKR040C_mRNA,YNL143C_mRNA,YPR065W_mRNA	0.999891	0.000000	0.000000	0.000000	-0.000275	0.000000	0.000000	-5.000000	0.296782
YEL054C_mRNA	YKR040C_mRNA,YNL143C_mRNA,YPR065W_mRNA	0.999890	0.000000	0.000000	0.000000	-0.000389	0.000000	0.000000	-5.000000	0.293754
YBR234C_mRNA	YER130C_mRNA,YNL143C_mRNA	0.999885						1.000000	5.000000	0.291805
